"Ticker","Date","Open","High","Low","Close"
"SBUX","9-19-16",53.96,53.9739,52.9,53.01
"SBUX","9-20-16",53.4,53.435,53.05,53.3
"SBUX","9-21-16",53.43,54.03,53.28,53.98
"SBUX","9-22-16",54.2,54.6,53.965,54.39
"SBUX","9-23-16",54,54.56,54,54.43
"SBUX","9-26-16",54.28,54.34,53.86,54.04
"SBUX","9-27-16",54,54.21,53.82,54.19
"SBUX","9-28-16",53.88,54.08,53.53,53.98
"SBUX","9-29-16",53.88,53.995,52.91,53.45
"SBUX","9-30-16",53.65,54.385,53.56,54.14
"SBUX","10-3-16",54.1,54.15,53.665,53.84
"SBUX","10-4-16",54.13,54.13,53.41,53.53
"SBUX","10-5-16",53.5,53.76,53.275,53.35
"SBUX","10-6-16",53.3,53.48,53.03,53.14
"SBUX","10-7-16",53.37,53.605,53,53.46
"SBUX","10-10-16",53.53,53.6,53.27,53.3
"SBUX","10-11-16",53.13,53.4,52.74,52.92
"SBUX","10-12-16",53.01,53.47,52.78,53.16
"SBUX","10-13-16",52.88,53.13,52.6662,52.95
"SBUX","10-14-16",53.12,53.37,52.96,53.08
"SBUX","10-17-16",52.94,53.145,52.69,52.76
"SBUX","10-18-16",53.24,53.3197,52.59,52.61
"SBUX","10-19-16",52.91,53.74,52.9,53.15
"SBUX","10-20-16",53.36,53.74,52.91,53.59
"SBUX","10-21-16",53.42,53.7,53.25,53.63
"SBUX","10-24-16",53.9,54.46,53.8939,54.18
"SBUX","10-25-16",54.1,54.17,53.5,53.67
"SBUX","10-26-16",53.6,53.84,53.355,53.63
"SBUX","10-27-16",53.6,53.83,53.13,53.59
"SBUX","10-28-16",53.63,53.84,53.11,53.53
"SBUX","10-31-16",53.7,53.7,53.055,53.07
"SBUX","11-1-16",53.14,53.21,52.085,52.5
"SBUX","11-2-16",52.34,53.46,52.31,52.98
"SBUX","11-3-16",52.99,53,51.34,51.77
"SBUX","11-4-16",51.43,53.74,50.84,52.75
"SBUX","11-7-16",53.5,54.68,53.19,54.49
"SBUX","11-8-16",54.4,54.79,54.115,54.62
"SBUX","11-9-16",53.2,54.82,52.8,54.58
"SBUX","11-10-16",54.64,54.817,53.51,53.57
"SBUX","11-11-16",53.43,53.99,53.25,53.93
"SBUX","11-14-16",53.93,54.47,53.5,54.22
"SBUX","11-15-16",54.09,54.69,53.9,54.59
"SBUX","11-16-16",54.33,55.52,54.26,55.44
"SBUX","11-17-16",55.215,55.9,55.06,55.85
"SBUX","11-18-16",55.72,56.12,55.42,55.77
"SBUX","11-21-16",55.51,56.16,55.51,56.1
"SBUX","11-22-16",56.32,57.15,55.88,57.12
"SBUX","11-23-16",56.91,57.64,56.9,57.59
"SBUX","11-25-16",57.7,57.7,57.255,57.43
"SBUX","11-28-16",57,57.86,56.76,57.59
"SBUX","11-29-16",57.64,58.21,57.5,58.17
"SBUX","11-30-16",58.19,58.25,57.86,57.97
"SBUX","12-1-16",57.34,58.52,57.2,58.51
"SBUX","12-2-16",56.649,57.75,56.57,57.21
"SBUX","12-5-16",56.96,57.84,56.96,57.5
"SBUX","12-6-16",57.66,57.7,57.14,57.44
"SBUX","12-7-16",57.54,58.85,57.45,58.76
"SBUX","12-8-16",59,59.25,58.4118,58.65
"SBUX","12-9-16",58.92,58.95,58.43,58.75
"SBUX","12-12-16",58.54,58.79,58.34,58.77
"SBUX","12-13-16",58.99,59.54,58.66,59.31
"SBUX","12-14-16",59.03,59.25,58.6,58.75
"SBUX","12-15-16",57.9675,58.21,57.52,57.71
"SBUX","12-16-16",58.01,58.07,57.56,57.66
"SBUX","12-19-16",57.44,57.98,57.44,57.65
"SBUX","12-20-16",57.81,58.06,57.32,57.7
"SBUX","12-21-16",57.5,57.87,57.41,57.44
"SBUX","12-22-16",57.31,57.4,56.72,57.11
"SBUX","12-23-16",57.29,57.36,56.89,57.01
"SBUX","12-27-16",56.99,57.3869,56.81,56.86
"SBUX","12-28-16",56.8,56.9,56.25,56.35
"SBUX","12-29-16",56.35,56.47,56.135,56.32
"SBUX","12-30-16",56.28,56.45,55.4,55.52
"SBUX","1-3-17",55.91,55.95,55.04,55.35
"SBUX","1-4-17",55.56,56.195,55.38,55.99
"SBUX","1-5-17",56.08,56.53,55.8099,56.46
"SBUX","1-6-17",56.63,57.27,56.08,57.13
"SBUX","1-9-17",57.26,58.335,57.25,58.2
"SBUX","1-10-17",58.22,58.26,57.83,57.88
"SBUX","1-11-17",57.8,58.12,57.59,58.1
"SBUX","1-12-17",58,58.13,57.64,58.03
"SBUX","1-13-17",58.03,58.1,57.65,57.85
"SBUX","1-17-17",57.62,58.25,57.41,58
"SBUX","1-18-17",58.32,58.58,58.03,58.45
"SBUX","1-19-17",58.31,58.45,57.715,57.89
"SBUX","1-20-17",58.14,58.2,57.41,57.66
"SBUX","1-23-17",57.42,57.9,57.15,57.76
"SBUX","1-24-17",57.93,58.5,57.76,58.44
"SBUX","1-25-17",58.67,58.93,58.45,58.7
"SBUX","1-26-17",58.7,59,58.26,58.46
"SBUX","1-27-17",55.75,56.59,55.65,56.12
"SBUX","1-30-17",56,56.24,55.58,55.9
"SBUX","1-31-17",55.8,55.87,54.88,55.22
"SBUX","2-1-17",55.49,55.5,53.81,53.9
"SBUX","2-2-17",54.04,54.39,53.85,53.87
"SBUX","2-3-17",54.21,55.1,54.01,55.06
"SBUX","2-6-17",55.01,55.75,54.9,55.73
"SBUX","2-7-17",55.79,55.84,55.1801,55.24
"SBUX","2-8-17",55.19,55.4957,55.1,55.22
"SBUX","2-9-17",55.23,56.12,55.21,55.81
"SBUX","2-10-17",55.73,56.395,55.56,56.22
"SBUX","2-13-17",56.5,56.66,56.03,56.11
"SBUX","2-14-17",56.02,56.61,56.02,56.58
"SBUX","2-15-17",56.56,56.88,56.305,56.86
"SBUX","2-16-17",56.96,56.99,56.53,56.73
"SBUX","2-17-17",56.8,57.57,56.71,57.35
"SBUX","2-21-17",57.41,57.81,57.4,57.54
"SBUX","2-22-17",57.52,57.85,57.35,57.57
"SBUX","2-23-17",57.6,57.79,57.39,57.64
"SBUX","2-24-17",57.61,57.71,57.145,57.48
"SBUX","2-27-17",57.24,57.3,56.66,56.78
"SBUX","2-28-17",56.71,57.06,56.55,56.87
"SBUX","3-1-17",57.27,57.4,56.94,57.14
"SBUX","3-2-17",57.07,57.19,56.85,57.12
"SBUX","3-3-17",56.7,57.26,56.7,57.1
"SBUX","3-6-17",56.78,56.81,56.33,56.68
