"Ticker","Date","Open","High","Low","Close"
"SGEN","9-19-16",53.81,54.5956,53.41,54.08
"SGEN","9-20-16",54.34,55.73,54.3,54.79
"SGEN","9-21-16",55.05,56.48,54.02,56.1
"SGEN","9-22-16",56.52,56.97,55.55,56.19
"SGEN","9-23-16",56.1,56.45,55.3,55.83
"SGEN","9-26-16",55.52,55.91,54.9,55.71
"SGEN","9-27-16",55.82,57.23,55.37,56.57
"SGEN","9-28-16",56.71,56.88,54.64,55.33
"SGEN","9-29-16",55.32,55.51,53.03,53.29
"SGEN","9-30-16",53.47,54.27,52.13,54.01
"SGEN","10-3-16",53.92,54.38,53.2775,54.25
"SGEN","10-4-16",54.32,54.98,53.87,54.54
"SGEN","10-5-16",54.6,56.0634,54.23,55.51
"SGEN","10-6-16",55.2,55.2,53.92,54.33
"SGEN","10-7-16",54.32,55.94,54.32,55.18
"SGEN","10-10-16",55.83,57.5,55.39,57.25
"SGEN","10-11-16",57.25,57.83,55.62,55.99
"SGEN","10-12-16",56.03,56.36,53.05,53.09
"SGEN","10-13-16",51.25,52.69,51.02,52.29
"SGEN","10-14-16",52.68,53.06,50.29,50.31
"SGEN","10-17-16",50.26,50.94,48.61,50.14
"SGEN","10-18-16",50.84,51.7,50.22,50.73
"SGEN","10-19-16",50.69,51.51,50.07,51.28
"SGEN","10-20-16",51.18,52.03,51.115,51.6
"SGEN","10-21-16",51.63,51.85,50.21,50.83
"SGEN","10-24-16",50.74,51.15,49.66,50.36
"SGEN","10-25-16",50.41,51.19,49.89,50.38
"SGEN","10-26-16",50.58,50.7,49.79,50.33
"SGEN","10-27-16",50.97,51.66,49.77,49.93
"SGEN","10-28-16",51.48,51.66,47.29,50.85
"SGEN","10-31-16",50.8,52.43,50.8,51.7
"SGEN","11-1-16",52.01,55.99,51.55,55.74
"SGEN","11-2-16",55.42,56.61,55.1,56.33
"SGEN","11-3-16",56.3,57.28,55.86,57
"SGEN","11-4-16",57.85,58.91,55.87,56.24
"SGEN","11-7-16",56.25,59.82,55.93,59.73
"SGEN","11-8-16",59.21,60.81,58.5001,59.42
"SGEN","11-9-16",62.61,69.53,62.26,69.17
"SGEN","11-10-16",69.5,75.36,64.8,67.94
"SGEN","11-11-16",67.92,68.82,66.05,68.09
"SGEN","11-14-16",67.9,69.66,66.66,69.56
"SGEN","11-15-16",69.38,73.14,68.48,72.16
"SGEN","11-16-16",71.96,73.58,70.78,70.81
"SGEN","11-17-16",71.35,73.99,70,73.71
"SGEN","11-18-16",73.5,73.91,69.88,70.69
"SGEN","11-21-16",71.1,72.48,70.17,72.13
"SGEN","11-22-16",72.28,72.75,67.74,69.22
