"Ticker","Date","Open","High","Low","Close"
"SIRI","9-19-16",4.12,4.17,4.11,4.14
"SIRI","9-20-16",4.14,4.16,4.11,4.13
"SIRI","9-21-16",4.13,4.19,4.12,4.175
"SIRI","9-22-16",4.19,4.22,4.18,4.205
"SIRI","9-23-16",4.2,4.22,4.18,4.205
"SIRI","9-26-16",4.18,4.19,4.1548,4.165
"SIRI","9-27-16",4.16,4.19,4.15,4.16
"SIRI","9-28-16",4.16,4.18,4.15,4.165
"SIRI","9-29-16",4.16,4.2,4.14,4.145
"SIRI","9-30-16",4.17,4.19,4.15,4.17
"SIRI","10-3-16",4.17,4.21,4.17,4.19
"SIRI","10-4-16",4.2,4.22,4.15,4.18
"SIRI","10-5-16",4.18,4.19,4.16,4.16
"SIRI","10-6-16",4.16,4.17,4.14,4.155
"SIRI","10-7-16",4.17,4.17,4.12,4.16
"SIRI","10-10-16",4.16,4.18,4.13,4.135
"SIRI","10-11-16",4.14,4.14,4.07,4.08
"SIRI","10-12-16",4.09,4.11,4.07,4.1
"SIRI","10-13-16",4.09,4.11,4.05,4.1
"SIRI","10-14-16",4.11,4.14,4.1,4.11
"SIRI","10-17-16",4.11,4.13,4.08,4.11
"SIRI","10-18-16",4.12,4.14,4.1,4.1
"SIRI","10-19-16",4.1,4.15,4.1,4.135
"SIRI","10-20-16",4.14,4.16,4.12,4.13
"SIRI","10-21-16",4.13,4.15,4.11,4.15
"SIRI","10-24-16",4.16,4.19,4.15,4.18
"SIRI","10-25-16",4.16,4.19,4.15,4.19
"SIRI","10-26-16",4.19,4.25,4.17,4.24
"SIRI","10-27-16",4.27,4.27,4.07,4.11
"SIRI","10-28-16",4.09,4.15,4.09,4.11
"SIRI","10-31-16",4.11,4.17,4.1,4.17
"SIRI","11-1-16",4.18,4.19,4.14,4.16
"SIRI","11-2-16",4.16,4.18,4.12,4.13
"SIRI","11-3-16",4.14,4.16,4.12,4.13
"SIRI","11-4-16",4.12,4.18,4.11,4.14
"SIRI","11-7-16",4.16,4.22,4.15,4.215
"SIRI","11-8-16",4.21,4.29,4.21,4.27
"SIRI","11-9-16",4.14,4.33,4.13,4.29
"SIRI","11-10-16",4.3,4.37,4.28,4.31
"SIRI","11-11-16",4.28,4.38,4.27,4.36
"SIRI","11-14-16",4.36,4.56,4.36,4.485
"SIRI","11-15-16",4.49,4.6,4.44,4.58
"SIRI","11-16-16",4.57,4.58,4.51,4.52
