"Ticker","Date","Open","High","Low","Close"
"SNPS","9-19-16",58.09,58.68,57.72,58.53
"SNPS","9-20-16",58.91,58.95,58.33,58.34
"SNPS","9-21-16",58.51,59,58.42,58.98
"SNPS","9-22-16",59.08,59.8,58.87,59.66
"SNPS","9-23-16",59.28,59.67,59.28,59.38
"SNPS","9-26-16",58.99,59.37,58.94,59.18
"SNPS","9-27-16",59.08,59.72,58.8401,59.62
"SNPS","9-28-16",59.77,59.935,59.35,59.91
"SNPS","9-29-16",59.73,59.94,59.05,59.08
"SNPS","9-30-16",59.35,59.61,58.92,59.35
"SNPS","10-3-16",59.3,59.51,58.88,58.91
"SNPS","10-4-16",58.9,59.18,58.52,58.79
"SNPS","10-5-16",59.08,60.02,59.06,59.65
"SNPS","10-6-16",59.56,59.98,59.33,59.83
"SNPS","10-7-16",59.8,59.88,59.15,59.26
"SNPS","10-10-16",59.7,61.36,58.2,60.56
"SNPS","10-11-16",60.32,60.55,59.33,59.57
"SNPS","10-12-16",59.53,59.94,59.37,59.76
"SNPS","10-13-16",59.52,59.82,58.68,59.48
"SNPS","10-14-16",59.85,60.58,59.74,59.75
"SNPS","10-17-16",59.76,60.2,59.63,59.75
"SNPS","10-18-16",60.43,60.43,59.55,59.62
"SNPS","10-19-16",60.03,60.035,59.66,59.76
"SNPS","10-20-16",59.57,59.815,58.93,59.19
"SNPS","10-21-16",59.08,59.39,58.75,59.13
"SNPS","10-24-16",59.37,59.95,59.2602,59.45
"SNPS","10-25-16",59.3,59.39,58.32,58.61
"SNPS","10-26-16",58.56,59.01,58.25,58.56
"SNPS","10-27-16",58.79,59,58.15,58.33
"SNPS","10-28-16",58.25,58.8307,58.23,58.37
"SNPS","10-31-16",58.58,59.44,58.51,59.31
"SNPS","11-1-16",59.25,59.25,58.08,58.3
"SNPS","11-2-16",58.09,58.54,57.64,57.93
"SNPS","11-3-16",57.9,58.39,57.59,57.735
"SNPS","11-4-16",57.72,58.47,57.55,57.65
"SNPS","11-7-16",58.66,59.41,58.49,59.03
"SNPS","11-8-16",58.75,59.83,58.59,59.22
"SNPS","11-9-16",58.18,59.15,57.62,59.02
"SNPS","11-10-16",59.37,59.6499,58.26,58.63
"SNPS","11-11-16",58.67,59.9,58.57,59.63
"SNPS","11-14-16",61.9,62,59.76,59.82
"SNPS","11-15-16",60.14,60.33,59.78,60.07
"SNPS","11-16-16",59.75,60.82,59.75,60.77
"SNPS","11-17-16",60.68,61.69,60.2703,61.49
"SNPS","11-18-16",61.71,61.86,61.08,61.11
"SNPS","11-21-16",61.28,61.6,61,61.31
"SNPS","11-22-16",61.58,61.58,61.07,61.3
"SNPS","11-23-16",61.05,61.265,60.84,61.08
"SNPS","11-25-16",61.1,61.69,61.1,61.56
