"Ticker","Date","Open","High","Low","Close"
"SPLK","9-19-16",59.5,60.3799,58.585,58.82
"SPLK","9-20-16",59.22,59.61,58.114,58.37
"SPLK","9-21-16",58.34,59.33,58.12,59.21
"SPLK","9-22-16",59.7,59.75,58.88,59.13
"SPLK","9-23-16",59.25,59.44,57.84,58.15
"SPLK","9-26-16",57.74,58.3,57.53,57.59
"SPLK","9-27-16",57.65,58.73,57.4975,58.7
"SPLK","9-28-16",58.85,59.08,57.71,59.02
"SPLK","9-29-16",58.9,59.0804,57.7,57.73
"SPLK","9-30-16",57.75,58.89,57.41,58.68
"SPLK","10-3-16",59.11,61.37,59.09,61.18
"SPLK","10-4-16",60.08,60.89,59.76,60.51
"SPLK","10-5-16",60.62,61.52,60.62,60.89
"SPLK","10-6-16",60.66,60.8799,59.69,60.2
"SPLK","10-7-16",60.12,60.44,59.33,59.95
"SPLK","10-10-16",60.64,62,60.41,61.26
"SPLK","10-11-16",60.93,61.33,59.563,59.63
"SPLK","10-12-16",59.39,59.71,56.89,57.38
"SPLK","10-13-16",56.96,56.9652,54.45,56.34
"SPLK","10-14-16",56.53,57.79,55.87,56.71
"SPLK","10-17-16",56.51,56.95,55.97,56.89
"SPLK","10-18-16",57.97,58.93,57.41,57.66
"SPLK","10-19-16",57.83,58.78,57.83,58.08
"SPLK","10-20-16",57.68,59.1,57.3,58.9
"SPLK","10-21-16",58.93,59.18,58.35,58.92
"SPLK","10-24-16",59.31,60.03,59.07,60
"SPLK","10-25-16",59.97,60.04,58.8212,59.14
"SPLK","10-26-16",58.78,59.61,58.64,58.85
"SPLK","10-27-16",59.77,60.99,59.46,59.71
"SPLK","10-28-16",59.52,61.77,59.36,60.95
"SPLK","10-31-16",61.09,61.26,60.17,60.19
"SPLK","11-1-16",60.42,61.71,60,61.71
"SPLK","11-2-16",60.98,61.01,58.5,58.82
"SPLK","11-3-16",58.88,59.16,57.84,57.94
"SPLK","11-4-16",58.36,58.87,57.54,57.64
"SPLK","11-7-16",58.92,60.86,58.475,60.77
"SPLK","11-8-16",60.36,60.95,59.39,59.78
"SPLK","11-9-16",58.67,60.49,58.29,59.99
"SPLK","11-10-16",60.14,60.63,57.28,57.75
"SPLK","11-11-16",57.22,58.4799,56.42,57.95
"SPLK","11-14-16",57.95,58.98,57.54,58.79
"SPLK","11-15-16",59.27,59.93,58.83,59.78
"SPLK","11-16-16",59.25,60.46,58.9915,60.32
"SPLK","11-17-16",60.06,62.5,59.935,62.25
"SPLK","11-18-16",62.85,62.9,59.84,59.88
"SPLK","11-21-16",60.12,60.2418,59.19,59.54
"SPLK","11-22-16",58.81,59.92,58.19,59.77
"SPLK","11-23-16",59.47,59.5,57.18,57.65
"SPLK","11-25-16",58,58.49,57.54,58.33
"SPLK","11-28-16",59.15,59.15,56.75,57.42
"SPLK","11-29-16",57.35,58.17,56.87,57.38
"SPLK","11-30-16",62.48,62.88,57.41,57.62
"SPLK","12-1-16",58,58.39,53.015,53.33
"SPLK","12-2-16",52.76,53.95,51.9,53.68
"SPLK","12-5-16",54.03,57.06,54.03,56.07
"SPLK","12-6-16",56.1,56.47,55.08,55.5
"SPLK","12-7-16",55.63,56.63,54.77,56.27
"SPLK","12-8-16",56,57.01,55.25,56.81
"SPLK","12-9-16",56.96,57.95,56.44,56.82
"SPLK","12-12-16",56.63,57.1448,55.55,56.21
"SPLK","12-13-16",56.64,57.75,56.5021,57.01
"SPLK","12-14-16",56.62,56.75,54.96,55.33
"SPLK","12-15-16",55.27,56.34,54.3,55.34
"SPLK","12-16-16",54.98,55.88,54.89,55.41
"SPLK","12-19-16",55,55.47,54.58,54.77
"SPLK","12-20-16",55,55.21,53.18,53.72
"SPLK","12-21-16",53.48,53.87,52.81,53.44
"SPLK","12-22-16",53.72,53.72,52.1,52.34
