"Ticker","Date","Open","High","Low","Close"
"SWKS","9-19-16",76.74,77.88,75.79,76.09
"SWKS","9-20-16",76.3,76.365,75.02,75.72
"SWKS","9-21-16",76.19,77,75.7,76.74
"SWKS","9-22-16",77.28,77.44,76.37,76.9
"SWKS","9-23-16",76.68,76.91,74.06,74.77
"SWKS","9-26-16",73.94,74.42,72.73,72.82
"SWKS","9-27-16",72.95,73.97,72.35,73.92
"SWKS","9-28-16",74.84,75.64,73.85,74.27
"SWKS","9-29-16",73.79,74.43,72.06,73.26
"SWKS","9-30-16",73.91,76.32,73.88,76.14
"SWKS","10-3-16",75.76,76.77,75.1612,75.33
"SWKS","10-4-16",75.4,77.17,75.4,76.59
"SWKS","10-5-16",77.15,78.19,76.81,77.75
"SWKS","10-6-16",78.18,79.42,77.71,79.34
"SWKS","10-7-16",79.36,79.57,77.63,79.37
"SWKS","10-10-16",79.78,81.19,79.61,80.15
"SWKS","10-11-16",80.71,82.275,78.66,79.43
"SWKS","10-12-16",79.46,79.51,78.15,78.82
"SWKS","10-13-16",77.98,78.025,76.2,77.41
"SWKS","10-14-16",77.86,79.49,77.44,77.63
"SWKS","10-17-16",77.63,78.14,76.48,76.7
"SWKS","10-18-16",78.1,78.3733,77.53,77.65
"SWKS","10-19-16",77.19,78.03,76.77,77.91
"SWKS","10-20-16",77.72,78.5,77.05,78.09
"SWKS","10-21-16",77.75,78.09,76.87,77.47
"SWKS","10-24-16",78.01,79.19,78.01,78.49
"SWKS","10-25-16",78.18,79.14,77.91,78.08
"SWKS","10-26-16",77.44,78.69,77.19,77.54
"SWKS","10-27-16",78.18,78.58,77.05,77.26
"SWKS","10-28-16",77.91,77.99,75.62,75.72
"SWKS","10-31-16",75.95,77.26,75.02,76.94
"SWKS","11-1-16",76.92,77.76,74.76,75.81
"SWKS","11-2-16",75.65,76.37,74.82,75.03
"SWKS","11-3-16",74.65,76.82,74.39,74.67
"SWKS","11-4-16",72.6,76.865,72.5,75.07
"SWKS","11-7-16",76.67,77.3,75.3,77.24
"SWKS","11-8-16",76.86,78.02,76.01,77.33
"SWKS","11-9-16",74.79,78.24,74.5,77.66
"SWKS","11-10-16",77.89,79.49,74.77,75.91
"SWKS","11-11-16",76,77.89,74.2,74.51
"SWKS","11-14-16",74.79,74.82,73.59,74.04
"SWKS","11-15-16",74.18,76.25,73.725,75.93
"SWKS","11-16-16",75.36,76.48,75,76.12
"SWKS","11-17-16",76.15,77.975,75.688,77.95
"SWKS","11-18-16",77.82,78.94,76.915,78.21
"SWKS","11-21-16",78.46,79.13,78.2,78.93
"SWKS","11-22-16",79.39,80.14,78.99,79.36
"SWKS","11-23-16",79.21,79.51,78.02,78.31
"SWKS","11-25-16",78.27,78.31,76.49,77.01
"SWKS","11-28-16",77.06,77.84,75.82,77.3
"SWKS","11-29-16",77.09,77.72,76.28,77.22
"SWKS","11-30-16",77.49,77.79,76.4383,76.85
"SWKS","12-1-16",76.92,77.07,71.65,71.78
"SWKS","12-2-16",71.69,73.445,71.65,73.34
"SWKS","12-5-16",73.72,74.98,73.49,74.82
"SWKS","12-6-16",75.33,76.55,74.82,76.17
"SWKS","12-7-16",75.78,77.66,74.25,77.34
"SWKS","12-8-16",77.3,79.74,76.98,79.52
"SWKS","12-9-16",80.6,81.04,75.65,76.93
"SWKS","12-12-16",76.36,77.08,75.37,76.26
"SWKS","12-13-16",76.8,77.63,75.95,76.88
"SWKS","12-14-16",76.49,77,74.62,75.14
"SWKS","12-15-16",75.21,77.83,74.63,77.21
"SWKS","12-16-16",77.51,78.59,76.67,76.81
"SWKS","12-19-16",76.95,78.33,76.91,77.44
"SWKS","12-20-16",77.52,77.79,76.3198,76.61
"SWKS","12-21-16",76.66,77.15,76.01,77.07
"SWKS","12-22-16",77.93,78.33,77,78.15
"SWKS","12-23-16",78.22,78.45,77.62,78.03
"SWKS","12-27-16",77.9,78.83,77.66,78.33
"SWKS","12-28-16",78.47,78.6,76.91,77.03
"SWKS","12-29-16",76.74,77.12,75.63,76.56
"SWKS","12-30-16",76.83,76.83,74.32,74.66
"SWKS","1-3-17",75.22,76.24,74.4,75.15
"SWKS","1-4-17",75.46,75.655,74.5,74.99
"SWKS","1-5-17",74.66,75.38,73.94,74.57
"SWKS","1-6-17",74.82,75.48,74.32,74.96
"SWKS","1-9-17",75.96,76.96,75.23,75.65
"SWKS","1-10-17",75.69,77.52,75.66,77.31
"SWKS","1-11-17",77.33,78.72,76.51,78.41
"SWKS","1-12-17",76.2,76.91,74.67,76.75
"SWKS","1-13-17",76.91,78.49,76.69,78.33
"SWKS","1-17-17",77.64,78.43,76.485,76.89
"SWKS","1-18-17",77.39,79.27,77.16,79.27
"SWKS","1-19-17",78.87,79.45,78.1805,78.46
"SWKS","1-20-17",85,88.9,84.69,88.67
"SWKS","1-23-17",88.87,91.07,87.72,90.17
"SWKS","1-24-17",90.31,92.74,90.31,92.27
"SWKS","1-25-17",93,93.78,91.32,91.87
"SWKS","1-26-17",92,92.64,90.94,91.01
"SWKS","1-27-17",91.55,92.44,91.25,92.01
"SWKS","1-30-17",91.43,93.08,90.22,92.99
"SWKS","1-31-17",92.32,92.479,90.28,91.74
"SWKS","2-1-17",93.54,94.49,91.31,91.74
"SWKS","2-2-17",90.8,91.535,90.06,91.11
"SWKS","2-3-17",91.32,91.91,90.88,91.56
"SWKS","2-6-17",91.45,91.58,90.71,91.39
"SWKS","2-7-17",91.4,92.2,91.17,91.78
"SWKS","2-8-17",91.61,92.34,90.94,91.69
"SWKS","2-9-17",92.07,93.1299,91.24,92.47
"SWKS","2-10-17",92.73,92.75,91.41,92.21
"SWKS","2-13-17",92.69,93.3,92.27,92.63
"SWKS","2-14-17",92.32,92.48,90.53,91.8
"SWKS","2-15-17",92.02,92.61,91.25,92.13
"SWKS","2-16-17",92.34,92.56,91.6,92.43
"SWKS","2-17-17",92.24,96.67,91.92,96.35
"SWKS","2-21-17",96.63,97.51,95.7,96.57
"SWKS","2-22-17",96.49,97.17,96.04,96.71
"SWKS","2-23-17",96.86,96.94,94.3,95.31
"SWKS","2-24-17",94.24,95,93.02,94.7
"SWKS","2-27-17",94.54,95.68,93.85,95.63
"SWKS","2-28-17",95.61,95.85,94,94.81
"SWKS","3-1-17",95.97,97.15,94.37,96.74
"SWKS","3-2-17",96.98,97.57,94.71,94.76
"SWKS","3-3-17",95.03,95.32,94.16,94.92
"SWKS","3-6-17",94.21,95.71,93.425,95.45
"SWKS","3-7-17",95.22,95.49,94.207,95.05
"SWKS","3-8-17",96.36,96.91,95.39,96.69
"SWKS","3-9-17",96.21,97.67,95.06,97.14
"SWKS","3-10-17",97.74,98.7,97.5,98.18
"SWKS","3-13-17",98.48,99.34,98.06,99.04
"SWKS","3-14-17",98.74,98.94,97.95,98.79
"SWKS","3-15-17",98.71,99.38,98.12,99.11
"SWKS","3-16-17",99.22,99.22,98,98.11
"SWKS","3-17-17",98.51,98.61,97.51,97.93
"SWKS","3-20-17",97.95,98.81,97.15,98.19
"SWKS","3-21-17",98.37,98.64,95.34,95.52
"SWKS","3-22-17",95.47,96.78,94.59,96.74
"SWKS","3-23-17",96.54,97.29,96.0278,96.5
"SWKS","3-24-17",97.36,98.35,96.88,97.3
"SWKS","3-27-17",96.41,97.714,95.33,97.19
"SWKS","3-28-17",97.31,98.7,96.55,97.93
"SWKS","3-29-17",97.85,97.85,97,97.23
"SWKS","3-30-17",97.29,98.5,97.06,98.14
"SWKS","3-31-17",98.31,98.49,97.71,97.98
"SWKS","4-3-17",98.15,98.48,96.95,97.72
"SWKS","4-4-17",98.68,100.7,98.14,99.35
"SWKS","4-5-17",99.56,100.58,98.6101,98.89
"SWKS","4-6-17",98.97,99.81,97.7313,99.42
"SWKS","4-7-17",99.43,102.64,99.11,101.82
"SWKS","4-10-17",101.9,102.54,100.66,101.53
"SWKS","4-11-17",100.5,100.815,99.11,100.14
"SWKS","4-12-17",100.23,100.4,96.98,97.59
"SWKS","4-13-17",96.82,99.44,96.15,97.47
"SWKS","4-17-17",97.92,98.88,97.92,98.76
"SWKS","4-18-17",98.18,99.596,98.05,99.03
"SWKS","4-19-17",99.8,100.6,99.09,99.24
"SWKS","4-20-17",99.5,101.88,99.35,101.63
"SWKS","4-21-17",101.56,101.76,100.35,101.6
"SWKS","4-24-17",103,105.34,102.67,103.91
"SWKS","4-25-17",104.26,104.79,103.96,104
"SWKS","4-26-17",104.3,104.3,102.07,102.97
"SWKS","4-27-17",103.42,104.38,103.05,104.2
"SWKS","4-28-17",102.79,104.33,99.57,99.74
"SWKS","5-1-17",100.26,100.81,98.51,99.81
"SWKS","5-2-17",100,100.73,99.33,100.67
"SWKS","5-3-17",100.18,101.78,99.6,101.43
"SWKS","5-4-17",101.32,102.435,100.88,100.92
"SWKS","5-5-17",101.35,101.68,100.31,101.46
"SWKS","5-8-17",101.57,101.81,100.6,101.02
"SWKS","5-9-17",101.33,102.34,101.165,101.93
"SWKS","5-10-17",102.65,103.07,101.66,102.5
"SWKS","5-11-17",102.2,102.92,101.35,102.61
"SWKS","5-12-17",102.6,102.88,101.9,102.52
"SWKS","5-15-17",102.99,104.23,102.63,103.76
"SWKS","5-16-17",104.05,105.51,103.46,105.5
"SWKS","5-17-17",104.5,104.72,100.47,100.55
"SWKS","5-18-17",100.63,103.87,100.22,103.2
"SWKS","5-19-17",103.65,104.315,103.31,103.87
"SWKS","5-22-17",104.45,105.1,104.121,104.96
"SWKS","5-23-17",105.02,105.38,103.56,105.17
"SWKS","5-24-17",105.49,105.98,104.7,105.42
"SWKS","5-25-17",105.65,107.18,105.1338,106.04
"SWKS","5-26-17",106,106.34,104.5,105.89
"SWKS","5-30-17",105.8,107.25,105.77,106.36
"SWKS","5-31-17",106.98,107,105.43,106.43
"SWKS","6-1-17",106.79,107.68,106.25,107.68
"SWKS","6-2-17",108.13,108.67,106.51,108.42
"SWKS","6-5-17",108.2,109.2,107.75,108.15
"SWKS","6-6-17",107.5,109.43,107.3,107.86
"SWKS","6-7-17",108,109.8,107.71,109.48
"SWKS","6-8-17",109.82,111.06,108.82,111.01
"SWKS","6-9-17",111.4,112.11,104.29,107.01
"SWKS","6-12-17",105.26,105.85,101,103.76
"SWKS","6-13-17",104.67,105.69,103.47,104.85
"SWKS","6-14-17",105.27,105.555,101.02,102.47
"SWKS","6-15-17",100.74,102.64,100.56,102.28
"SWKS","6-16-17",102.35,103.61,101.085,101.9
"SWKS","6-19-17",102.72,104.55,102.72,104.06
"SWKS","6-20-17",103.9,104.59,101.61,101.81
"SWKS","6-21-17",102.32,103.57,101.61,103.3
"SWKS","6-22-17",103.37,103.65,101.38,103.25
"SWKS","6-23-17",103.25,104.51,102.57,104.36
"SWKS","6-26-17",104.47,105.25,101.26,101.32
"SWKS","6-27-17",100.5,100.62,97.71,97.86
"SWKS","6-28-17",98.74,98.88,96.37,98.36
"SWKS","6-29-17",97.96,98.42,94.35,96.13
"SWKS","6-30-17",96.64,97.27,95.11,95.95
"SWKS","7-3-17",96.44,97.48,95.145,95.34
"SWKS","7-5-17",95.79,97.82,95.79,97.53
"SWKS","7-6-17",97.14,99.04,96.61,97.79
"SWKS","7-7-17",98.19,100.42,98.06,99.7
"SWKS","7-10-17",99.93,100.3,98.42,100.05
"SWKS","7-11-17",100.05,101.07,99.69,100.73
"SWKS","7-12-17",101.45,102.29,101.14,101.73
"SWKS","7-13-17",102,103.18,101.48,102.75
"SWKS","7-14-17",103.42,104.03,103.17,103.99
"SWKS","7-17-17",104.02,104.42,103.18,103.3
"SWKS","7-18-17",103.05,103.87,101.87,103.83
"SWKS","7-19-17",104.5,105.4975,104.06,105.41
"SWKS","7-20-17",106.18,108.21,105.5,107.64
"SWKS","7-21-17",106.73,107.98,105.23,107.47
"SWKS","7-24-17",107.65,107.73,105.37,105.86
"SWKS","7-25-17",106.39,106.74,104.71,106.39
"SWKS","7-26-17",107,107.94,106.3,107.33
"SWKS","7-27-17",107.61,108.555,105.55,107
"SWKS","7-28-17",106.64,107.15,105.42,105.76
"SWKS","7-31-17",106.37,106.51,104.39,104.87
"SWKS","8-1-17",105.11,105.38,103.5,104.28
"SWKS","8-2-17",106.82,106.98,103.35,104.43
"SWKS","8-3-17",104.43,104.53,101.29,101.79
"SWKS","8-4-17",101.67,103.65,101,102.55
"SWKS","8-7-17",102.29,104.7,102.29,104.5
"SWKS","8-8-17",104.5,105.98,104.25,104.73
"SWKS","8-9-17",103.7,105.07,103.5101,104.74
"SWKS","8-10-17",103.6,103.99,101.49,101.6
"SWKS","8-11-17",101.71,103.59,101.45,103.18
