"Ticker","Date","Open","High","Low","Close"
"TCOM","9-19-16",43.99,44.28,43.63,43.77
"TCOM","9-20-16",43.77,44.3,43.77,44.09
"TCOM","9-21-16",44.42,45.505,44.15,45.33
"TCOM","9-22-16",45.35,46.11,45.35,46.1
"TCOM","9-23-16",46,46.34,45.75,46.02
"TCOM","9-26-16",45.76,46.05,45.41,45.55
"TCOM","9-27-16",45.76,46.275,45.51,46.25
"TCOM","9-28-16",46.18,47,46.13,46.95
"TCOM","9-29-16",46.66,47.25,46.63,46.79
"TCOM","9-30-16",46.8,46.99,46.46,46.57
"TCOM","10-3-16",46.57,47.03,46.4405,46.95
"TCOM","10-4-16",47.03,47.3,46.62,47.03
"TCOM","10-5-16",47.29,47.68,47.05,47.45
"TCOM","10-6-16",47.62,47.78,46.7,47.59
"TCOM","10-7-16",47.54,47.58,46.95,47.08
"TCOM","10-10-16",47,48.495,46.76,48.16
"TCOM","10-11-16",47.94,47.96,46.475,46.77
"TCOM","10-12-16",46.62,47.13,46.23,46.35
"TCOM","10-13-16",45.85,46.35,45.23,46.31
"TCOM","10-14-16",46.99,47.45,46.5,46.57
"TCOM","10-17-16",46.65,46.7,46.18,46.29
"TCOM","10-18-16",46.96,47.82,46.75,47.06
"TCOM","10-19-16",47.13,47.52,47.13,47.24
"TCOM","10-20-16",47.25,47.42,46.81,47.25
"TCOM","10-21-16",47.14,47.7,46.94,47.61
"TCOM","10-24-16",47.66,48.41,47.66,48.2
"TCOM","10-25-16",48.2,49.62,47.89,48
"TCOM","10-26-16",48,48.02,46.62,46.69
"TCOM","10-27-16",46.81,46.91,44.77,45.47
"TCOM","10-28-16",45.3,46.2,44.51,44.73
"TCOM","10-31-16",44.77,45.09,43.98,44.15
"TCOM","11-1-16",44.39,44.42,42.95,43.41
"TCOM","11-2-16",43.64,43.6799,42.02,42.34
"TCOM","11-3-16",42.31,43.04,42.26,42.45
"TCOM","11-4-16",42,42.73,41.84,42.44
"TCOM","11-7-16",43.24,44.04,43.14,43.54
"TCOM","11-8-16",43.67,44.05,43.05,43.57
"TCOM","11-9-16",42.75,43.5,41.99,42.29
"TCOM","11-10-16",43.01,43.85,40.84,40.98
"TCOM","11-11-16",40.7,41.25,40.02,41.1
"TCOM","11-14-16",41.37,41.56,40.24,40.62
"TCOM","11-15-16",41.37,42.095,41,42.02
"TCOM","11-16-16",40.78,42.33,40.32,42.16
"TCOM","11-17-16",42.01,42.65,42,42.31
"TCOM","11-18-16",42.31,42.73,41.46,42.02
"TCOM","11-21-16",42.02,42.625,41.64,42.26
"TCOM","11-22-16",42.5,42.5,41.56,41.87
"TCOM","11-23-16",42.19,42.19,40.59,40.99
"TCOM","11-25-16",45.01,46.27,44.75,45.01
"TCOM","11-28-16",45,45.0539,44.241,44.74
"TCOM","11-29-16",44.51,45.96,44.42,45.87
"TCOM","11-30-16",46.15,46.33,45.09,45.23
"TCOM","12-1-16",45.3,45.78,44.61,44.83
"TCOM","12-2-16",44.62,45.02,43.465,44.01
"TCOM","12-5-16",44.08,44.46,42.91,42.97
"TCOM","12-6-16",43.18,43.49,42.14,42.38
"TCOM","12-7-16",42.65,43.04,41.93,42.85
"TCOM","12-8-16",43,43.24,42.34,43.17
"TCOM","12-9-16",43.26,43.8,42.74,43.43
"TCOM","12-12-16",43.2,43.38,42.16,42.62
"TCOM","12-13-16",42.92,43.15,42.28,42.61
"TCOM","12-14-16",42.47,42.53,41.88,41.97
"TCOM","12-15-16",41.69,41.74,41.02,41.33
"TCOM","12-16-16",41.56,41.6,40.9,41
"TCOM","12-19-16",40.98,41.15,40.46,40.86
"TCOM","12-20-16",40.96,41.37,40.71,40.81
"TCOM","12-21-16",41,41.16,40.6337,40.7
"TCOM","12-22-16",40.33,40.53,40,40.07
"TCOM","12-23-16",40,40.17,39.71,39.98
"TCOM","12-27-16",40,40.62,39.89,40.15
"TCOM","12-28-16",40.2,40.43,39.83,39.97
"TCOM","12-29-16",40.01,40.11,39.8,39.99
"TCOM","12-30-16",40.42,40.8,39.88,40
"TCOM","1-3-17",40.88,41.1,40.4,40.49
"TCOM","1-4-17",40.89,41.69,40.665,41.34
"TCOM","1-5-17",41.9,43,41.71,42.8
"TCOM","1-6-17",42.5,42.8,41.81,42.5
"TCOM","1-9-17",42.81,43.66,42.59,43.24
"TCOM","1-10-17",43.41,43.78,43.3,43.71
"TCOM","1-11-17",43.76,43.99,43.13,43.97
"TCOM","1-12-17",43.79,44.24,42.64,43.36
"TCOM","1-13-17",43.5,43.84,43.265,43.53
"TCOM","1-17-17",43.52,44.67,43.12,44.17
"TCOM","1-18-17",44.29,44.3,43.51,43.99
"TCOM","1-19-17",43.94,44.03,43.29,43.54
"TCOM","1-20-17",43.58,43.77,43.31,43.36
"TCOM","1-23-17",43.39,43.4,43.03,43.29
"TCOM","1-24-17",43.3,44.09,43.3,43.88
"TCOM","1-25-17",44,44.07,43.36,43.62
"TCOM","1-26-17",43.97,44,43.01,43.38
"TCOM","1-27-17",43.53,43.9,43.39,43.4
"TCOM","1-30-17",43.35,43.515,42.75,43.4
"TCOM","1-31-17",43.24,43.63,43.04,43.21
"TCOM","2-1-17",43.59,43.59,42.57,43.01
"TCOM","2-2-17",43,43.08,42.6,42.79
"TCOM","2-3-17",42.99,43.05,42.535,42.9
"TCOM","2-6-17",43.12,43.24,42.83,43.05
"TCOM","2-7-17",43.21,43.25,42.86,42.91
"TCOM","2-8-17",43.39,43.39,42.58,43.11
"TCOM","2-9-17",43.4,43.79,43.03,43.39
"TCOM","2-10-17",43.85,45.06,43.59,44.49
