"Ticker","Date","Open","High","Low","Close"
"TEAM","9-19-16",29.99,30.59,29.72,30.29
"TEAM","9-20-16",30.5,30.6,30.06,30.26
"TEAM","9-21-16",30.45,35.16,30.18,31.9
"TEAM","9-22-16",32.1,32.1,30.41,31.36
"TEAM","9-23-16",31.46,31.54,30.63,30.75
"TEAM","9-26-16",30.39,30.7,29.71,30.02
"TEAM","9-27-16",29.9,30.42,29.45,29.78
"TEAM","9-28-16",29.83,30.17,29.52,30
"TEAM","9-29-16",31.48,31.49,29.92,30.32
"TEAM","9-30-16",30.4,30.4,29.97,29.97
"TEAM","10-3-16",29.8,30,28.56,29.19
"TEAM","10-4-16",29.13,29.3117,28.56,28.72
"TEAM","10-5-16",29.28,29.89,28.99,29.08
"TEAM","10-6-16",29.15,29.48,28.6,28.85
"TEAM","10-7-16",28.78,28.8948,28.12,28.27
"TEAM","10-10-16",28.38,28.81,28.19,28.46
"TEAM","10-11-16",28.35,28.61,28.11,28.41
"TEAM","10-12-16",28.23,28.37,27.84,28
"TEAM","10-13-16",27.75,28.48,27.55,28.05
"TEAM","10-14-16",28.34,28.61,27.89,28.42
"TEAM","10-17-16",28.5,28.5,28.3,28.43
"TEAM","10-18-16",28.53,28.99,28.48,28.91
"TEAM","10-19-16",29,29.16,28.54,29.03
"TEAM","10-20-16",29.1,29.24,28.55,28.7
"TEAM","10-21-16",28.83,29.205,28.59,29.04
"TEAM","10-24-16",29.69,29.69,29,29.25
"TEAM","10-25-16",29.37,29.44,28.9,29.14
"TEAM","10-26-16",28.95,29.51,28.645,28.77
"TEAM","10-27-16",28.86,29.07,28.14,28.31
"TEAM","10-28-16",28.02,28.04,26.84,27.2
"TEAM","10-31-16",27,27.06,26.06,26.86
"TEAM","11-1-16",26.78,27.29,26.59,27.19
"TEAM","11-2-16",27.07,27.3,26.69,27.13
"TEAM","11-3-16",27.04,27.23,26.84,26.94
"TEAM","11-4-16",26.84,27.09,26.77,26.9
"TEAM","11-7-16",27.01,27.45,26.67,27.44
"TEAM","11-8-16",27.31,27.6,27.02,27.42
"TEAM","11-9-16",26,27.41,25.74,27.32
"TEAM","11-10-16",27.3,27.65,27.04,27.47
"TEAM","11-11-16",27.41,27.66,27.19,27.49
