"Ticker","Date","Open","High","Low","Close"
"TMUS","9-19-16",46.61,46.73,45.73,45.93
"TMUS","9-20-16",46.25,46.25,44.49,44.5
"TMUS","9-21-16",45.01,46.04,44.6,45.88
"TMUS","9-22-16",46.14,47.11,45.72,47.03
"TMUS","9-23-16",46.98,47.44,46.85,47.29
"TMUS","9-26-16",46.77,47.115,46.645,46.92
"TMUS","9-27-16",46.89,47.27,46.68,46.9
"TMUS","9-28-16",46.78,46.96,46.41,46.81
"TMUS","9-29-16",46.71,46.84,46.22,46.46
"TMUS","9-30-16",46.46,47.22,46.19,46.72
"TMUS","10-3-16",46.54,47.105,46.29,46.88
"TMUS","10-4-16",46.77,47.25,46.63,46.75
"TMUS","10-5-16",46.94,46.94,46.02,46.065
"TMUS","10-6-16",45.9,46.1,45.255,45.5
"TMUS","10-7-16",45.74,45.74,44.91,45.27
"TMUS","10-10-16",45.3,46.23,45.2,46.15
"TMUS","10-11-16",46.18,46.18,45.22,45.61
"TMUS","10-12-16",45.61,46.15,45.515,46.03
"TMUS","10-13-16",45.59,46.03,45.07,46.01
"TMUS","10-14-16",46.05,47,45.9,46.23
"TMUS","10-17-16",46.09,46.54,46.04,46.52
"TMUS","10-18-16",46.91,47.515,46.85,47.35
"TMUS","10-19-16",47.09,47.39,46.77,47.32
"TMUS","10-20-16",47.03,47.15,46.49,47.05
"TMUS","10-21-16",46.86,47.28,46.58,46.75
"TMUS","10-24-16",48.32,51.345,48.32,51.19
"TMUS","10-25-16",51.17,51.65,49.43,49.6
"TMUS","10-26-16",49.68,50.4,49.35,49.5
"TMUS","10-27-16",49.55,49.75,48.945,49.5
"TMUS","10-28-16",49.24,49.97,49.08,49.35
"TMUS","10-31-16",49.63,50.005,49.32,49.73
"TMUS","11-1-16",49.68,49.82,48.83,49.29
"TMUS","11-2-16",49.25,49.77,48.76,49.18
"TMUS","11-3-16",49.27,49.905,49.21,49.52
"TMUS","11-4-16",48.79,50.59,48.79,49.35
"TMUS","11-7-16",50.39,50.88,50,50.35
"TMUS","11-8-16",50.46,50.75,50.15,50.46
"TMUS","11-9-16",49.19,53.085,49.05,53.01
"TMUS","11-10-16",53,53.145,51,52.18
"TMUS","11-11-16",52.02,52.91,51.54,52.54
"TMUS","11-14-16",51.87,53.91,51.87,52.92
"TMUS","11-15-16",52.94,53.62,52.41,53.46
"TMUS","11-16-16",52.64,52.94,52.13,52.73
"TMUS","11-17-16",52.62,53.51,52.49,53.39
"TMUS","11-18-16",53.13,53.75,53.09,53.59
"TMUS","11-21-16",53.5,53.97,53.1,53.72
"TMUS","11-22-16",53.65,54.66,53.65,54.24
"TMUS","11-23-16",54.19,54.69,53.3,54.34
"TMUS","11-25-16",54.3,54.93,54.12,54.59
"TMUS","11-28-16",54.68,55.03,54.02,54.98
"TMUS","11-29-16",54.98,55.84,54.78,55.39
"TMUS","11-30-16",55.46,56.0918,54.21,54.21
"TMUS","12-1-16",54.11,54.53,53.7801,54.26
"TMUS","12-2-16",54.62,54.82,53.83,54.44
"TMUS","12-5-16",54.6,55.2,54.55,55.02
"TMUS","12-6-16",55.02,56.69,54.52,55.99
"TMUS","12-7-16",56.69,58.47,55.95,58.39
"TMUS","12-8-16",58.4,59.19,57.98,58.55
"TMUS","12-9-16",58.58,58.645,56.59,56.74
"TMUS","12-12-16",56.65,56.8,55.871,56.13
"TMUS","12-13-16",56.56,57.08,56.43,56.65
"TMUS","12-14-16",56.75,57.18,56.251,56.55
"TMUS","12-15-16",56.85,57.75,56.31,57.25
