"Ticker","Date","Open","High","Low","Close"
"TRV","9-19-16",115.13,116,114.42,115.09
"TRV","9-20-16",115.87,115.915,114.72,114.79
"TRV","9-21-16",114.89,115.98,114.6,115.93
"TRV","9-22-16",116.42,116.98,116.13,116.73
"TRV","9-23-16",116.63,116.68,115.31,115.31
"TRV","9-26-16",115.07,115.07,113.7667,113.94
"TRV","9-27-16",113.89,114.8,113.74,114.41
"TRV","9-28-16",114.7,115.09,114.18,115.01
"TRV","9-29-16",114.81,115.06,113.64,113.87
"TRV","9-30-16",114.18,115.055,114.18,114.55
"TRV","10-3-16",114.27,114.42,112.6,113
"TRV","10-4-16",113.31,113.31,111.27,112.32
"TRV","10-5-16",112.94,113.51,112.49,113.1
"TRV","10-6-16",113.19,113.43,112.11,113.18
"TRV","10-7-16",113.77,114.85,113.515,114.53
"TRV","10-10-16",114.94,115.47,114.63,115.14
"TRV","10-11-16",114.48,114.8686,113.67,114
"TRV","10-12-16",113.92,115.53,113.73,115.35
"TRV","10-13-16",114.99,115.31,114.15,115.06
"TRV","10-14-16",115.84,116.2,115.08,115.08
"TRV","10-17-16",115,115.43,114.72,114.98
"TRV","10-18-16",116.14,116.19,114.99,115.18
"TRV","10-19-16",115.66,116.91,115.12,116.23
"TRV","10-20-16",112.83,113.51,109.25,109.52
"TRV","10-21-16",108.53,109.22,106.86,108.35
"TRV","10-24-16",109.1,109.475,108.83,109.07
"TRV","10-25-16",109.36,109.9,108.77,109.03
"TRV","10-26-16",108.73,109.33,108.04,108.82
"TRV","10-27-16",109.32,109.32,107.97,108.02
"TRV","10-28-16",108.6,109.03,107.59,108.43
"TRV","10-31-16",108.93,109.02,107.88,108.18
"TRV","11-1-16",108.6,108.6,106.02,106.24
"TRV","11-2-16",106.28,106.59,105.35,105.62
"TRV","11-3-16",106.02,106.47,105.53,105.72
"TRV","11-4-16",106.07,106.07,104.569,104.67
"TRV","11-7-16",106.22,106.22,104.92,105.36
"TRV","11-8-16",105.43,108.16,105.16,108.01
"TRV","11-9-16",103.45,107.52,103.45,106.94
"TRV","11-10-16",107.3,109.79,106.64,109.62
"TRV","11-11-16",109.48,110.58,109.1,110.28
"TRV","11-14-16",110.77,112.25,110.65,112.18
"TRV","11-15-16",111.98,112.03,111.36,111.85
"TRV","11-16-16",111.45,111.56,110.7,111.35
"TRV","11-17-16",110.97,111.48,110.395,111.18
"TRV","11-18-16",111.25,112.12,110.82,111.82
"TRV","11-21-16",112.01,112.34,111.25,111.84
"TRV","11-22-16",111.94,112.62,111.83,112.4
"TRV","11-23-16",112.67,113.23,112.44,113.07
"TRV","11-25-16",113.47,113.88,113.1,113.45
"TRV","11-28-16",113.35,114.24,113.35,113.81
"TRV","11-29-16",113.9,114.12,113.5,113.7
"TRV","11-30-16",113.61,114.01,113.18,113.35
"TRV","12-1-16",114.22,115.52,113.85,115.41
"TRV","12-2-16",114.95,115.955,114.86,115.65
"TRV","12-5-16",116.05,116.125,114.8,115.87
"TRV","12-6-16",116.39,116.87,115.8,116.83
"TRV","12-7-16",116.48,118.36,116.22,117.99
"TRV","12-8-16",118.38,119.26,118.17,118.38
"TRV","12-9-16",118.7,119.19,117.87,119.19
"TRV","12-12-16",119.87,120.99,119.56,120.91
"TRV","12-13-16",121.08,122.47,120.94,121.43
"TRV","12-14-16",121.34,121.44,119.89,120.37
"TRV","12-15-16",120.93,121.71,120.2,120.4
"TRV","12-16-16",121.04,121.93,120.6,121.6
"TRV","12-19-16",121.61,122.2,121.38,121.75
"TRV","12-20-16",122.15,122.82,121.86,122.44
"TRV","12-21-16",121.94,123.09,121.94,122.57
"TRV","12-22-16",122.25,122.87,121.62,122.12
"TRV","12-23-16",122.13,122.44,121.68,122.12
"TRV","12-27-16",122.27,122.27,121.65,121.98
"TRV","12-28-16",122.4,122.77,121.97,122.08
"TRV","12-29-16",122.07,122.6,121.91,122.29
"TRV","12-30-16",122.79,122.84,122.05,122.42
"TRV","1-3-17",123.07,123.07,120.26,120.9
"TRV","1-4-17",120.87,121.74,120.22,120.25
"TRV","1-5-17",119.29,119.5,117.28,118.33
"TRV","1-6-17",117.83,118.71,117.62,118.27
"TRV","1-9-17",118.15,118.25,117.3,117.32
"TRV","1-10-17",116.69,117.72,116.45,117.18
"TRV","1-11-17",117.22,118.15,117.19,117.65
"TRV","1-12-17",117.25,117.27,115.88,116.75
"TRV","1-13-17",117.27,117.85,116.7,117.05
"TRV","1-17-17",117.01,118.16,116.62,117.46
"TRV","1-18-17",118.08,118.59,117.14,118.54
"TRV","1-19-17",118.91,118.95,117.42,117.99
"TRV","1-20-17",118.57,118.89,117.63,118.02
"TRV","1-23-17",118.16,118.259,117.43,118.04
"TRV","1-24-17",118.55,119.15,116.16,116.84
"TRV","1-25-17",117.33,118.65,117.33,117.67
"TRV","1-26-17",117.65,118.43,117.65,118.13
"TRV","1-27-17",118.4,118.43,117.43,118.1
"TRV","1-30-17",118.02,118.02,117.16,117.51
