"Ticker","Date","Open","High","Low","Close"
"UNH","9-19-16",138.68,139.39,137.52,137.68
"UNH","9-20-16",138.13,138.53,137.055,137.47
"UNH","9-21-16",138.2,139.96,137.99,139.91
"UNH","9-22-16",140.49,141.41,140.326,141.04
"UNH","9-23-16",141.02,141.78,140.36,140.51
"UNH","9-26-16",139.95,140.17,138.9,139.72
"UNH","9-27-16",139.99,140.84,138.69,140.79
"UNH","9-28-16",141.13,141.71,139.66,140.41
"UNH","9-29-16",140.18,140.28,137.84,138.32
"UNH","9-30-16",139.18,140.48,138.42,140
"UNH","10-3-16",139.35,139.72,138.025,138.49
"UNH","10-4-16",138.69,139.3599,137.16,138.16
"UNH","10-5-16",138.21,138.93,136.6,137.6
"UNH","10-6-16",137.31,137.49,135.66,136.47
"UNH","10-7-16",137.21,137.55,135.981,136.66
"UNH","10-10-16",136.97,138.35,136.97,138.08
"UNH","10-11-16",137.32,137.69,134.37,134.75
"UNH","10-12-16",134.98,135.72,133.64,135.1
"UNH","10-13-16",134.65,134.65,133.61,134.19
"UNH","10-14-16",134.78,135.51,133.89,133.92
"UNH","10-17-16",134.06,134.43,133.03,134.13
"UNH","10-18-16",139.2,143.95,137.87,143.39
"UNH","10-19-16",143.82,146.36,142.8201,144.37
"UNH","10-20-16",144.49,145.88,143.98,145.07
"UNH","10-21-16",144.26,145.44,143.76,145.37
"UNH","10-24-16",146,146.22,144.02,144.69
"UNH","10-25-16",144.88,145.38,143.6,143.78
"UNH","10-26-16",143.75,143.78,141.885,142.23
"UNH","10-27-16",142.72,143.25,141.58,141.94
"UNH","10-28-16",141.66,142.35,139.44,140.35
"UNH","10-31-16",140.8,141.54,139.97,141.33
"UNH","11-1-16",141.51,141.51,138.82,139.43
"UNH","11-2-16",139.02,141.23,138.93,138.98
"UNH","11-3-16",139.18,140.34,137.65,137.83
"UNH","11-4-16",138.45,138.89,137.69,137.71
"UNH","11-7-16",139.6,142.44,139.55,141.93
"UNH","11-8-16",141.35,143.61,141,142.9
"UNH","11-9-16",139.54,144.19,136.22,141.9
"UNH","11-10-16",142.34,146.57,142,146.13
"UNH","11-11-16",146.71,147.5,146.01,146.42
"UNH","11-14-16",147.32,152.92,147.04,152.28
"UNH","11-15-16",153.51,153.96,151.51,152.23
"UNH","11-16-16",151.99,153,151.23,151.5
"UNH","11-17-16",151.82,151.92,150.19,150.77
"UNH","11-18-16",151.05,151.66,149.4,149.45
"UNH","11-21-16",149.72,150.66,148.56,150.41
"UNH","11-22-16",151.08,152.93,150.56,152.26
"UNH","11-23-16",152.01,153.74,150.96,153.54
"UNH","11-25-16",153.93,154.5,152.61,152.81
"UNH","11-28-16",152.74,152.85,150,152.11
"UNH","11-29-16",156.94,158.1239,155.18,157.59
"UNH","11-30-16",157.47,159.76,157.07,158.32
"UNH","12-1-16",159.12,161.72,159.12,160.94
"UNH","12-2-16",161,162.52,160.56,160.73
"UNH","12-5-16",160.19,160.67,156.23,157.63
"UNH","12-6-16",158.17,158.23,156.26,157.32
