"Ticker","Date","Open","High","Low","Close"
"V","9-19-16",82.43,83.04,82.23,82.51
"V","9-20-16",82.97,83.23,82.32,82.48
"V","9-21-16",82.92,83.25,82.27,83.22
"V","9-22-16",83.42,83.79,83.2,83.36
"V","9-23-16",83.33,83.45,82.52,82.54
"V","9-26-16",82.15,82.26,81.685,81.81
"V","9-27-16",81.79,82.38,81.5,82.16
"V","9-28-16",82.38,83.01,81.94,82.97
"V","9-29-16",82.72,83.06,81.79,81.92
"V","9-30-16",82.16,83.035,81.68,82.7
"V","10-3-16",82.42,83.1066,82.3,82.86
"V","10-4-16",83.28,83.53,82.58,82.73
"V","10-5-16",82.96,83.45,82.9,83.35
"V","10-6-16",83.12,83.478,82.88,83.36
"V","10-7-16",83.49,83.7,82.64,82.88
"V","10-10-16",83.13,83.54,82.94,83.12
"V","10-11-16",82.68,82.79,81.57,82.04
"V","10-12-16",81.84,82.54,81.82,82.25
"V","10-13-16",81.65,82.13,81.11,81.87
"V","10-14-16",82.04,83.19,82.04,82.45
"V","10-17-16",82.58,82.69,82.04,82.15
"V","10-18-16",81.5,82.37,81.35,81.58
"V","10-19-16",81.65,82.87,81.65,82.81
"V","10-20-16",83.05,83.1,82.17,82.5
"V","10-21-16",82.02,82.54,81.58,82.35
"V","10-24-16",83.27,83.59,82.71,83.17
"V","10-25-16",82.15,82.99,81.7,82.03
"V","10-26-16",81.62,82.26,81.41,81.75
"V","10-27-16",81.96,82.27,81.61,81.92
"V","10-28-16",82.52,83.36,82.11,82.22
"V","10-31-16",82.44,82.9,82.355,82.51
"V","11-1-16",82.64,82.6908,81.33,81.62
"V","11-2-16",80.89,81.38,80.52,80.58
"V","11-3-16",80.75,81.13,80.54,80.65
"V","11-4-16",80.65,81.24,80.325,80.36
"V","11-7-16",81.64,82.53,81.45,82.51
"V","11-8-16",82.39,83.16,82.15,82.88
"V","11-9-16",81.81,83.3,81.22,83.24
"V","11-10-16",83.3,83.96,81.415,81.87
"V","11-11-16",81.59,82.63,81.52,81.88
"V","11-14-16",82.02,82.22,77.3,78.38
"V","11-15-16",78.23,79.54,77.795,78.57
"V","11-16-16",78.79,80.19,78.76,80.08
"V","11-17-16",80.32,81.2,80.18,81.07
"V","11-18-16",81.15,81.5,80.53,80.82
"V","11-21-16",81.23,81.78,80.9,81.69
"V","11-22-16",81.69,81.69,79.26,79.93
"V","11-23-16",79.98,79.99,78.95,79.57
"V","11-25-16",79.99,80.37,79.74,80.13
"V","11-28-16",79.66,80.01,79.05,79.08
"V","11-29-16",79.12,79.58,78.95,79.15
"V","11-30-16",79.45,79.45,77.28,77.32
"V","12-1-16",77.57,77.62,75.25,75.43
"V","12-2-16",75.4,76.25,75.17,75.72
"V","12-5-16",76.63,77.6,76.55,77.31
"V","12-6-16",77.94,77.97,76.71,77.11
"V","12-7-16",77.27,79.49,77.25,79.31
"V","12-8-16",79.68,79.87,78.97,79.28
"V","12-9-16",79.15,79.93,78.83,79.14
"V","12-12-16",78.99,79.03,77.915,78.5
"V","12-13-16",78.81,79.5,78.25,79.2
"V","12-14-16",79.28,79.98,79.12,79.13
"V","12-15-16",79.37,80.39,79.13,79.5
"V","12-16-16",79.22,79.46,78.17,78.35
"V","12-19-16",78.04,78.6,78.02,78.1
"V","12-20-16",78.41,78.58,77.69,78.36
"V","12-21-16",78.48,78.55,77.98,78.14
"V","12-22-16",78.02,78.06,77.19,77.9
"V","12-23-16",78.08,78.48,77.9,78.15
"V","12-27-16",78.27,78.848,78.23,78.35
"V","12-28-16",78.4,78.65,77.97,78.3
"V","12-29-16",78.49,78.84,78.3,78.33
"V","12-30-16",78.43,78.54,77.935,78.02
"V","1-3-17",78.76,79.91,78.49,79.5
"V","1-4-17",79.44,80.26,79.36,80.15
"V","1-5-17",80.34,81.53,80.22,81.09
"V","1-6-17",81.3,82.49,80.94,82.21
"V","1-9-17",82.28,82.45,81.65,81.75
"V","1-10-17",81.7,81.9,81.13,81.31
"V","1-11-17",81.25,81.8,80.91,81.8
"V","1-12-17",81.05,81.47,80.51,81.37
"V","1-13-17",81.02,81.85,80.79,81.17
"V","1-17-17",80.76,81.49,80.76,81.26
"V","1-18-17",81.27,81.83,80.98,81.59
"V","1-19-17",81.79,81.85,81.41,81.73
"V","1-20-17",82.09,82.28,81.61,81.84
"V","1-23-17",81.7,82.3,81.5,82.15
"V","1-24-17",82.4,83.49,81.85,83.23
"V","1-25-17",83.79,84.27,83.45,83.9
"V","1-26-17",83.92,83.92,83.075,83.24
"V","1-27-17",83.32,83.8,82.92,83.77
"V","1-30-17",83.47,83.74,82.66,83.7
"V","1-31-17",82.13,83.275,82.1,82.71
"V","2-1-17",82.9,83.09,82.05,82.44
"V","2-2-17",82.14,82.6979,81.57,82.3
"V","2-3-17",85.74,86.82,85.11,86.08
"V","2-6-17",86.07,86.1,85.51,85.83
"V","2-7-17",85.96,86.35,85.67,85.78
"V","2-8-17",85.8,85.84,85.08,85.09
"V","2-9-17",85.37,85.77,84.88,85.58
"V","2-10-17",85.8,86.14,85.23,85.9
"V","2-13-17",86.2,86.7,86,86.44
"V","2-14-17",86.52,86.97,86.26,86.85
"V","2-15-17",87.02,87.54,86.7,87.54
"V","2-16-17",87.55,87.68,86.7902,87.41
"V","2-17-17",87.27,87.68,86.98,87.46
"V","2-21-17",87.51,88.04,87.17,87.92
"V","2-22-17",87.61,88.15,87.51,87.8
"V","2-23-17",88.23,88.49,87.87,88.18
"V","2-24-17",87.36,88.43,87.3,88.43
"V","2-27-17",88.32,88.38,87.91,88
"V","2-28-17",88.16,88.3811,87.755,87.94
"V","3-1-17",88.74,89.14,88.42,88.99
