"Ticker","Date","Open","High","Low","Close"
"VRSK","9-19-16",80.98,81.35,80.42,80.72
"VRSK","9-20-16",81.06,81.3195,80.53,80.57
"VRSK","9-21-16",80.73,81.14,80.15,80.86
"VRSK","9-22-16",81.21,81.31,80.81,81.05
"VRSK","9-23-16",81.08,81.66,80.57,81.32
"VRSK","9-26-16",80.78,81.47,80.34,81.12
"VRSK","9-27-16",80.99,81.73,80.92,81.39
"VRSK","9-28-16",81.55,81.9,81.005,81.87
"VRSK","9-29-16",81.89,82.18,80.84,81.05
"VRSK","9-30-16",81.49,81.72,81.22,81.28
"VRSK","10-3-16",80.93,81.5,80.5427,81.23
"VRSK","10-4-16",81.24,81.31,80.56,80.65
"VRSK","10-5-16",80.88,81.06,80.19,80.3
"VRSK","10-6-16",80.32,80.5,79.27,79.75
"VRSK","10-7-16",79.71,79.96,79.25,79.61
"VRSK","10-10-16",79.8,80.42,79.8,80.1
"VRSK","10-11-16",79.82,80.07,79.16,79.4
"VRSK","10-12-16",79.25,79.8,79.05,79.52
"VRSK","10-13-16",79.05,79.66,78.604,79.36
"VRSK","10-14-16",79.47,80.14,79.3,79.37
"VRSK","10-17-16",79.42,79.82,79.32,79.47
"VRSK","10-18-16",79.97,81.4899,79.71,80.34
"VRSK","10-19-16",80.18,81.25,80.18,80.45
"VRSK","10-20-16",80.5,80.92,79.75,80.08
"VRSK","10-21-16",79.84,81.28,79.31,81.26
"VRSK","10-24-16",81.82,82.43,81.76,82.22
"VRSK","10-25-16",82.23,82.28,81.76,82.09
"VRSK","10-26-16",82.02,82.585,81.4,81.43
"VRSK","10-27-16",81.58,81.93,81.05,81.25
"VRSK","10-28-16",81.43,82.19,81.26,81.35
"VRSK","10-31-16",81.68,82.1003,81.54,81.55
"VRSK","11-1-16",81.68,81.68,80.67,80.94
"VRSK","11-2-16",81.4,83.29,81.12,82.21
"VRSK","11-3-16",82.57,82.99,82.08,82.41
"VRSK","11-4-16",81.83,82.85,81.73,81.76
"VRSK","11-7-16",82.86,83.2,82.48,83.1
"VRSK","11-8-16",82.95,83.23,82.58,82.89
"VRSK","11-9-16",80.88,83.4,80.88,83.33
"VRSK","11-10-16",83.58,84.29,82.65,83.12
"VRSK","11-11-16",82.83,83.71,82.83,83.13
"VRSK","11-14-16",83.39,83.6,82.73,82.83
"VRSK","11-15-16",83.01,83.58,82.5,82.69
"VRSK","11-16-16",82.68,83.06,82.06,82.3
"VRSK","11-17-16",82.5,83.025,82.44,83
"VRSK","11-18-16",82.83,83.53,82.82,83.16
"VRSK","11-21-16",83.4,83.91,83.16,83.75
"VRSK","11-22-16",84,84.005,83.68,83.96
"VRSK","11-23-16",83.79,84.76,82.5,83.89
"VRSK","11-25-16",83.96,84.3,83.35,84.11
"VRSK","11-28-16",84.41,84.85,84.07,84.15
"VRSK","11-29-16",84.2,84.4,83.62,83.88
"VRSK","11-30-16",84.19,84.415,83.03,83.08
"VRSK","12-1-16",83.23,83.52,81.95,82.36
"VRSK","12-2-16",82.42,82.66,81.6475,82.2
"VRSK","12-5-16",82.69,83.28,82.66,82.91
"VRSK","12-6-16",82.89,83.15,82.34,83.04
"VRSK","12-7-16",83.04,83.14,82.18,83.14
"VRSK","12-8-16",83.19,83.52,82.77,83.19
"VRSK","12-9-16",83.35,83.53,82.88,82.93
"VRSK","12-12-16",82.7,83.13,82.44,83.03
"VRSK","12-13-16",83.28,83.95,82.975,83.57
"VRSK","12-14-16",83.74,83.74,81.95,82.05
"VRSK","12-15-16",82.01,82.25,81.24,81.28
"VRSK","12-16-16",81.4,82.19,80.9,81.78
"VRSK","12-19-16",81.85,82.66,81.8401,82.11
"VRSK","12-20-16",82.36,82.49,82.1,82.37
"VRSK","12-21-16",82.37,82.985,82.37,82.43
"VRSK","12-22-16",82.27,82.48,81.75,82.07
"VRSK","12-23-16",82.01,82.41,81.87,82.11
"VRSK","12-27-16",82.41,82.97,81.995,82.15
"VRSK","12-28-16",82.42,82.53,81.53,81.65
"VRSK","12-29-16",81.52,82.01,81.52,81.7
"VRSK","12-30-16",81.99,81.99,80.96,81.17
"VRSK","1-3-17",81.59,82.08,81.05,81.32
"VRSK","1-4-17",81.28,82.01,81.23,81.96
"VRSK","1-5-17",81.69,82.23,81.51,81.66
"VRSK","1-6-17",81.52,82.4,81.43,82.38
"VRSK","1-9-17",82.03,82.248,81.55,81.73
