"Ticker","Date","Open","High","Low","Close"
"VRSN","9-19-16",76.51,77.48,76.42,77.2
"VRSN","9-20-16",77.71,78.12,77.46,77.67
"VRSN","9-21-16",78.14,79.015,77.21,78.92
"VRSN","9-22-16",78.98,79.49,77.99,78.48
"VRSN","9-23-16",78.71,79.24,78.47,78.53
"VRSN","9-26-16",77.87,78.59,77.68,78.23
"VRSN","9-27-16",78.46,78.97,78.27,78.64
"VRSN","9-28-16",78.65,79.65,78.545,79.42
"VRSN","9-29-16",79.37,79.44,78.19,78.21
"VRSN","9-30-16",78.4,78.91,77.45,78.24
"VRSN","10-3-16",78.52,79.94,78.36,78.83
"VRSN","10-4-16",78.78,79.2565,77.87,78.04
"VRSN","10-5-16",78.21,78.445,77.49,77.85
"VRSN","10-6-16",77.68,77.8,77.041,77.28
"VRSN","10-7-16",77.45,77.83,76.01,76.36
"VRSN","10-10-16",76.57,77.06,76.48,76.57
"VRSN","10-11-16",76.52,76.54,75.26,75.47
"VRSN","10-12-16",75.36,76.31,75.1415,76.25
"VRSN","10-13-16",75.6,75.6,74.46,75.21
"VRSN","10-14-16",75.66,76.29,75.33,75.71
"VRSN","10-17-16",75.8,75.95,75.15,75.2
"VRSN","10-18-16",76.01,76.05,75.59,75.69
"VRSN","10-19-16",75.84,76.2,75.74,75.9
"VRSN","10-20-16",75.86,76.72,75.21,76.56
"VRSN","10-21-16",80.7,84.16,80.62,81.56
"VRSN","10-24-16",81.63,81.9,80.8,81.37
"VRSN","10-25-16",81.14,81.19,79.46,79.64
"VRSN","10-26-16",79.44,79.95,78.84,79.22
"VRSN","10-27-16",79.64,80.94,79.02,80.76
"VRSN","10-28-16",83.17,86.981,80.76,84.63
"VRSN","10-31-16",84.61,84.93,83.89,84.02
"VRSN","11-1-16",84,84.94,82.29,83.09
"VRSN","11-2-16",82.81,82.82,80.81,80.83
"VRSN","11-3-16",80.84,81.48,80.27,80.39
"VRSN","11-4-16",80.41,80.92,79.73,79.77
"VRSN","11-7-16",81.15,81.9,80.35,81.88
"VRSN","11-8-16",81.47,81.99,81.26,81.48
"VRSN","11-9-16",79.99,82.47,79.54,82.05
"VRSN","11-10-16",82.23,83.12,80.31,81.05
"VRSN","11-11-16",80.74,81.52,80.3798,81.36
"VRSN","11-14-16",81.23,82.275,78.74,78.81
"VRSN","11-15-16",79.33,80.07,78.63,78.75
"VRSN","11-16-16",78.66,79.7825,78.09,79.69
"VRSN","11-17-16",79.85,81.075,79.6,80.97
"VRSN","11-18-16",80.87,81.17,79.85,80.04
"VRSN","11-21-16",80.18,81.03,79.35,80.67
"VRSN","11-22-16",81.07,81.07,79.74,79.9
"VRSN","11-23-16",79.92,80.7,79.54,79.79
"VRSN","11-25-16",79.9,81.49,79.69,81.22
"VRSN","11-28-16",80.63,81.26,79.72,80.13
"VRSN","11-29-16",80.28,80.68,79.03,79.12
"VRSN","11-30-16",79.12,79.19,77.98,78.85
