"Ticker","Date","Open","High","Low","Close"
"VRTX","9-19-16",93.21,93.59,91.09,91.26
"VRTX","9-20-16",92.07,92.52,90.98,91.69
"VRTX","9-21-16",91.99,92.71,89.08,91.82
"VRTX","9-22-16",92.83,93.35,90.01,92.12
"VRTX","9-23-16",92.27,92.96,90.27,90.63
"VRTX","9-26-16",90.05,91.23,88.1,88.29
"VRTX","9-27-16",88.23,89.19,87.25,89.12
"VRTX","9-28-16",90.51,90.73,86.87,88.84
"VRTX","9-29-16",88.45,90.77,84.985,85
"VRTX","9-30-16",85.25,88.91,83.5,87.21
"VRTX","10-3-16",86.46,87.475,84.62,86.79
"VRTX","10-4-16",86.94,87.25,85.75,86.42
"VRTX","10-5-16",86.85,88.24,86.09,87.65
"VRTX","10-6-16",86.74,86.88,84.88,84.96
"VRTX","10-7-16",85.36,85.95,84.23,85.7
"VRTX","10-10-16",86.35,86.95,85.83,85.98
"VRTX","10-11-16",85.15,86.08,80.78,81.66
"VRTX","10-12-16",81.81,82.82,80.04,80.15
"VRTX","10-13-16",79.55,81.56,79.52,80.56
"VRTX","10-14-16",81.13,82.23,79.2,79.23
"VRTX","10-17-16",79.36,81.535,78.5,80.5
"VRTX","10-18-16",81.73,83.14,81.73,82.96
"VRTX","10-19-16",82.79,82.89,81.21,81.83
"VRTX","10-20-16",81.4,83.26,81.4,82.92
"VRTX","10-21-16",82.34,82.6,80.69,80.76
"VRTX","10-24-16",80,80.4,77.9,78.73
"VRTX","10-25-16",78.88,79.75,77.43,78.71
"VRTX","10-26-16",81.9,82.81,76.67,78.71
"VRTX","10-27-16",79.39,81.05,75.01,75.84
"VRTX","10-28-16",75.35,79.3,74.95,77.58
"VRTX","10-31-16",77.61,77.88,75.77,75.86
"VRTX","11-1-16",75.37,77.99,73.305,77.88
"VRTX","11-2-16",77.6,78.43,76.77,78
"VRTX","11-3-16",78.43,78.515,77.55,77.69
"VRTX","11-4-16",77.39,80.92,77.39,78.96
"VRTX","11-7-16",80.38,83.94,79.31,83.22
"VRTX","11-8-16",82.73,84.21,81.85,82.99
"VRTX","11-9-16",88.92,93.8,87.79,92.88
"VRTX","11-10-16",94.07,97.93,94.06,95.36
"VRTX","11-11-16",94.28,95.25,89.97,92
"VRTX","11-14-16",92.33,94.51,89.64,94.42
"VRTX","11-15-16",94.14,94.675,91.96,93.06
"VRTX","11-16-16",92.58,93.06,90.43,90.47
"VRTX","11-17-16",90.67,92.4,90.01,91.2
"VRTX","11-18-16",90.94,91.48,89,89.44
"VRTX","11-21-16",89.95,90.51,88.76,89.05
"VRTX","11-22-16",89.32,89.75,85.4,86.2
"VRTX","11-23-16",85.37,87.47,84.26,87.34
"VRTX","11-25-16",87.71,87.97,86.29,87.77
"VRTX","11-28-16",87.47,88,86.13,86.9
"VRTX","11-29-16",86.21,87.5,84.4,85.65
"VRTX","11-30-16",85.86,86.91,81.59,81.61
"VRTX","12-1-16",81.85,82.53,77.75,77.82
"VRTX","12-2-16",77.65,78.01,75.38,75.5
"VRTX","12-5-16",76.13,77.33,75.25,75.55
"VRTX","12-6-16",75.77,78.39,75.04,78.12
"VRTX","12-7-16",76.7,76.94,74.09,75.32
"VRTX","12-8-16",75.98,77.34,74.59,77.22
"VRTX","12-9-16",77.7,79.67,76.28,76.67
"VRTX","12-12-16",76.58,76.915,75.24,76.08
"VRTX","12-13-16",76.62,77.77,76.08,76.6
"VRTX","12-14-16",76.34,78.69,76,78.33
"VRTX","12-15-16",78,78.62,76.27,77.05
"VRTX","12-16-16",77.35,78.9,76.29,76.8
"VRTX","12-19-16",76.46,78.45,76.05,76.3
"VRTX","12-20-16",76.44,76.85,75.97,76.44
"VRTX","12-21-16",76.3,76.8,72.41,72.6
"VRTX","12-22-16",72.61,73,71.46,72.02
"VRTX","12-23-16",72.11,74.81,71.96,74.31
"VRTX","12-27-16",74.32,76.28,74.32,75.19
"VRTX","12-28-16",75.2,75.5,74.52,74.59
