"Ticker","Date","Open","High","Low","Close"
"VZ","9-19-16",51.89,51.96,51.02,51.2
"VZ","9-20-16",51.6,51.8,51.13,51.27
"VZ","9-21-16",51.37,52.01,51.25,51.87
"VZ","9-22-16",52.15,52.49,52,52.35
"VZ","9-23-16",52.3,52.82,52.15,52.56
"VZ","9-26-16",52.45,52.56,52.015,52.15
"VZ","9-27-16",52.31,52.66,52,52.49
"VZ","9-28-16",52.31,52.439,51.81,52.06
"VZ","9-29-16",51.84,52.41,51.77,52.12
"VZ","9-30-16",52.43,52.57,51.96,51.98
"VZ","10-3-16",51.84,52.14,51.6,51.88
"VZ","10-4-16",51.77,51.94,51,51.26
"VZ","10-5-16",50.69,50.82,50.03,50.27
"VZ","10-6-16",50.32,50.52,49.97,50.26
"VZ","10-7-16",50.46,50.54,49.92,49.92
"VZ","10-10-16",50.23,50.3,49.63,50.19
"VZ","10-11-16",50.1,50.21,49.65,49.9
"VZ","10-12-16",49.96,50.48,49.94,50.3
"VZ","10-13-16",50.23,50.41,49.82,50.29
"VZ","10-14-16",50.34,50.61,50.27,50.28
"VZ","10-17-16",50.21,50.59,50.05,50.43
"VZ","10-18-16",50.61,50.61,50.05,50.27
"VZ","10-19-16",50.45,50.63,50.3471,50.38
"VZ","10-20-16",49.54,49.57,48.9,49.14
"VZ","10-21-16",48.79,48.92,47.95,48.2
"VZ","10-24-16",48.71,48.93,48.13,48.21
"VZ","10-25-16",48.2,48.29,47.785,47.84
"VZ","10-26-16",47.74,48.05,47.58,47.63
"VZ","10-27-16",47.74,48.705,47.63,48.54
"VZ","10-28-16",48.56,48.772,48.1,48.21
"VZ","10-31-16",48.24,48.3,48.05,48.1
"VZ","11-1-16",48.32,48.38,47.53,47.66
"VZ","11-2-16",47.75,47.75,46.86,46.94
"VZ","11-3-16",46.98,47.27,46.79,46.87
"VZ","11-4-16",46.97,47.28,46.89,47.08
"VZ","11-7-16",47.39,47.47,46.94,47.46
"VZ","11-8-16",47.56,47.85,47.465,47.65
"VZ","11-9-16",47.01,48.08,46.47,47.86
"VZ","11-10-16",47.86,47.88,46.36,46.69
"VZ","11-11-16",46.7,46.9,46.51,46.69
"VZ","11-14-16",46.71,46.85,46.01,46.18
"VZ","11-15-16",46.51,47.37,46.38,47.37
"VZ","11-16-16",47.49,47.98,47.32,47.93
"VZ","11-17-16",47.95,48.17,47.81,47.84
"VZ","11-18-16",47.85,48.2,47.565,48.07
"VZ","11-21-16",48.06,48.36,47.92,48.31
"VZ","11-22-16",48.56,49.61,48.37,49.49
"VZ","11-23-16",49.3,50.65,49.29,50.23
"VZ","11-25-16",50.22,50.8,50.17,50.67
"VZ","11-28-16",50.47,51.2,50.45,51.12
"VZ","11-29-16",51.03,51.15,50.77,50.96
"VZ","11-30-16",50.55,50.73,49.9,49.9
"VZ","12-1-16",49.8,49.99,49.31,49.87
"VZ","12-2-16",50,50.32,49.6,49.81
