"Ticker","Date","Open","High","Low","Close"
"WBA","9-19-16",81.84,81.84,80.44,80.81
"WBA","9-20-16",80.91,81.29,80.62,80.64
"WBA","9-21-16",80.74,80.98,79.65,80.58
"WBA","9-22-16",81.24,82.71,80.916,82.38
"WBA","9-23-16",82.53,82.59,82.03,82.05
"WBA","9-26-16",81.66,81.9,80.56,80.68
"WBA","9-27-16",80.77,81.51,80.54,80.97
"WBA","9-28-16",81.18,81.47,80.15,80.66
"WBA","9-29-16",80.4,80.71,78.9,79.21
"WBA","9-30-16",79.59,80.92,79.02,80.62
"WBA","10-3-16",80.27,80.69,80.02,80.38
"WBA","10-4-16",80.85,81.491,80.03,80.24
"WBA","10-5-16",80.3,80.9,80.18,80.51
"WBA","10-6-16",80.7,80.7,79.74,80.3
"WBA","10-7-16",80.65,80.75,79.25,79.88
"WBA","10-10-16",80,80.1,79.39,79.65
"WBA","10-11-16",79.45,79.51,77.7975,78.08
"WBA","10-12-16",78.16,78.92,77.81,78.3
"WBA","10-13-16",77.84,78.63,77.7,78.2
"WBA","10-14-16",78.43,78.69,77.94,78.31
"WBA","10-17-16",79.5,79.7,77.83,78.01
"WBA","10-18-16",78.63,78.9,77.99,78.08
"WBA","10-19-16",78.06,78.07,76.26,77.18
"WBA","10-20-16",78.75,81.3,78.615,81.02
"WBA","10-21-16",80.7,81.62,80.28,81.57
"WBA","10-24-16",81.65,83.34,81.58,83.11
"WBA","10-25-16",83.1,83.25,82.18,82.45
"WBA","10-26-16",81.53,82.965,81.53,82.3
"WBA","10-27-16",82.18,82.69,81.82,82.16
"WBA","10-28-16",80.23,81.15,79.33,81.1
"WBA","10-31-16",81.48,82.8,81.39,82.73
"WBA","11-1-16",81.95,82.73,81.79,82.46
"WBA","11-2-16",81.3,82.29,81.28,81.93
"WBA","11-3-16",82.35,82.46,80.685,80.78
"WBA","11-4-16",80.05,81.26,80.05,80.35
"WBA","11-7-16",81.56,81.82,81.03,81.45
"WBA","11-8-16",78.21,80.55,77.02,80.09
"WBA","11-9-16",79.47,82.21,79.25,81.54
"WBA","11-10-16",82,82.3,79.82,80.87
"WBA","11-11-16",80.76,81.12,79.87,81.05
"WBA","11-14-16",81.04,81.88,80.78,81.76
"WBA","11-15-16",81.9,83.35,81.37,83.28
"WBA","11-16-16",83.25,83.36,82.45,83.19
"WBA","11-17-16",83.07,84.1,82.2462,83.99
"WBA","11-18-16",83.53,83.87,82.56,83.27
"WBA","11-21-16",83.15,84.51,83.04,84.42
"WBA","11-22-16",84.47,84.72,83.77,83.92
"WBA","11-23-16",83.93,84.15,83.61,84.05
"WBA","11-25-16",84.16,84.53,84,84.43
"WBA","11-28-16",84.1,85.57,84.0525,85.35
"WBA","11-29-16",85.33,86.26,84.66,85.53
"WBA","11-30-16",85.75,85.84,84.41,84.73
"WBA","12-1-16",84.83,85.05,83.7,84.22
"WBA","12-2-16",84.39,85.44,83.89,85.11
"WBA","12-5-16",85.11,85.27,84.62,85
"WBA","12-6-16",84.82,85,84.29,84.71
"WBA","12-7-16",84.16,85.04,84.04,84.99
"WBA","12-8-16",85.07,85.22,83.8,84.28
"WBA","12-9-16",84.77,86.68,84.52,86.39
"WBA","12-12-16",85.88,86.9099,85.88,86.64
"WBA","12-13-16",86.83,87.94,86.25,87.73
"WBA","12-14-16",87.77,88,85.52,85.74
"WBA","12-15-16",85.63,86.3001,85.02,85.72
"WBA","12-16-16",86.22,87.19,85.84,86.08
"WBA","12-19-16",86.24,86.44,85.59,86.06
"WBA","12-20-16",87,87.42,85.89,86.28
"WBA","12-21-16",86.22,86.42,85.7,85.85
"WBA","12-22-16",85.5,85.85,83.9,84.27
