"Ticker","Date","Open","High","Low","Close"
"WDAY","9-19-16",89.28,90.15,88.37,88.65
"WDAY","9-20-16",89.23,89.62,88.12,88.69
"WDAY","9-21-16",89.36,90.73,88.81,90.52
"WDAY","9-22-16",89.98,90.88,89.97,90.28
"WDAY","9-23-16",90.28,90.28,89.27,89.51
"WDAY","9-26-16",88.99,88.99,87.82,88.32
"WDAY","9-27-16",88.32,89.86,88.01,89.79
"WDAY","9-28-16",90.58,90.95,89.265,90.88
"WDAY","9-29-16",90.7,91.39,90.21,90.36
"WDAY","9-30-16",91,92.46,90.7,91.69
"WDAY","10-3-16",91.56,92.11,90.25,91.18
"WDAY","10-4-16",91.18,91.75,90.22,90.49
"WDAY","10-5-16",90.79,92.5,90.61,92.05
"WDAY","10-6-16",92.79,93,91.0901,91.56
"WDAY","10-7-16",91.13,91.62,90.135,91.04
"WDAY","10-10-16",91.45,93.35,91.45,91.78
"WDAY","10-11-16",91.46,91.6,87.85,88.29
"WDAY","10-12-16",87.94,88.27,87.02,87.62
"WDAY","10-13-16",86.9,87.56,86.24,87.15
"WDAY","10-14-16",87.95,89.09,86.77,87.01
"WDAY","10-17-16",87.01,87.44,85.93,86.08
"WDAY","10-18-16",87.38,87.72,86.47,86.54
"WDAY","10-19-16",87.02,87.94,86.6401,87.3
"WDAY","10-20-16",86.85,88.29,86.8,88.07
"WDAY","10-21-16",87.82,88.51,87.09,88.48
"WDAY","10-24-16",89.07,89.35,88.29,88.54
"WDAY","10-25-16",88.36,88.84,87.52,87.71
"WDAY","10-26-16",87.14,87.75,86.31,86.68
"WDAY","10-27-16",87.9,88.49,85.51,85.76
"WDAY","10-28-16",85.92,87.39,85.92,86.2
"WDAY","10-31-16",86.58,87.05,85.53,86.68
"WDAY","11-1-16",87.22,87.26,84.37,84.96
"WDAY","11-2-16",84.09,84.93,82.38,83.1
"WDAY","11-3-16",83.1,83.82,82.63,83
"WDAY","11-4-16",83.06,83.78,82.3,82.77
"WDAY","11-7-16",84.28,86.15,84.1,85.59
"WDAY","11-8-16",85.09,86.76,84.67,85.7
"WDAY","11-9-16",83.75,86.59,83.75,84.97
"WDAY","11-10-16",85.38,86.78,81.26,82.08
"WDAY","11-11-16",82,83.03,81.47,82.74
"WDAY","11-14-16",83.07,83.34,80.43,80.52
"WDAY","11-15-16",81.01,82.295,80.34,81.41
"WDAY","11-16-16",80.14,81.73,78.05,80.92
"WDAY","11-17-16",80.92,83.39,80.83,83.14
"WDAY","11-18-16",83.82,84.61,82.4801,82.75
"WDAY","11-21-16",82.79,84.14,82.33,83.85
"WDAY","11-22-16",83.02,83.835,81.56,83.15
"WDAY","11-23-16",82.77,83.3,82.31,83.13
"WDAY","11-25-16",83.42,84.11,83,83.64
"WDAY","11-28-16",83.61,84.39,83.14,83.18
"WDAY","11-29-16",83.29,84.58,83,84.05
"WDAY","11-30-16",84.93,85.98,83.92,84.32
"WDAY","12-1-16",84.43,84.84,79.88,81.6
"WDAY","12-2-16",68.92,74.3096,67.03,71.4
"WDAY","12-5-16",71.45,74.35,71.4,73.68
"WDAY","12-6-16",73.85,73.85,72.05,73.5
"WDAY","12-7-16",73.06,73.38,72.075,72.7
"WDAY","12-8-16",72.86,73.2,71.44,71.81
"WDAY","12-9-16",71.99,72.41,70.06,70.65
"WDAY","12-12-16",70.6,71.02,69.7,70.02
"WDAY","12-13-16",70.4,71.59,70.09,70.56
"WDAY","12-14-16",70.6,70.77,68.51,68.92
"WDAY","12-15-16",68.92,69.63,68.5315,69.41
"WDAY","12-16-16",68.17,69.54,68.17,69
"WDAY","12-19-16",68.82,69.43,68.67,69.13
"WDAY","12-20-16",69.38,69.38,68.01,68.66
"WDAY","12-21-16",68.58,68.85,67.36,67.9
"WDAY","12-22-16",67.98,68.32,66.11,66.55
"WDAY","12-23-16",66.69,67.49,66.61,67.47
"WDAY","12-27-16",67.86,68.48,67.56,68.1
"WDAY","12-28-16",68.05,68.11,66.68,66.93
"WDAY","12-29-16",66.7,67.29,66.57,67.04
"WDAY","12-30-16",67.28,67.28,65.79,66.09
"WDAY","1-3-17",66.75,69.1,66.75,68.38
"WDAY","1-4-17",68.67,71.45,68.67,71.36
"WDAY","1-5-17",71.38,72.42,70.93,72.28
"WDAY","1-6-17",72.59,73.95,71.56,73.85
"WDAY","1-9-17",73.9,74.78,72.97,74.76
