"Ticker","Date","Open","High","Low","Close"
"WMT","9-19-16",72.64,72.87,72.09,72.09
"WMT","9-20-16",72.15,72.55,71.9,71.97
"WMT","9-21-16",72.18,72.54,71.5126,72.19
"WMT","9-22-16",72.43,72.54,71.99,72.27
"WMT","9-23-16",72.6,72.77,72.34,72.35
"WMT","9-26-16",72.31,72.33,71.52,71.62
"WMT","9-27-16",71.93,72.49,71.58,72.33
"WMT","9-28-16",72.22,72.32,71.38,71.79
"WMT","9-29-16",71.57,71.71,70.62,70.73
"WMT","9-30-16",71.5,72.455,71.4,72.12
"WMT","10-3-16",71.83,72.145,71.6,72.01
"WMT","10-4-16",72,72.57,71.55,71.75
"WMT","10-5-16",71.87,72.265,71.6,71.67
"WMT","10-6-16",70.2,70.43,68.89,69.36
"WMT","10-7-16",69.26,69.47,68.17,68.7
"WMT","10-10-16",68.75,68.96,67.75,67.98
"WMT","10-11-16",67.95,67.96,67.3,67.39
"WMT","10-12-16",67.74,67.91,67.3699,67.46
"WMT","10-13-16",67.19,68.54,67.07,68.23
"WMT","10-14-16",68.42,68.81,68.21,68.45
"WMT","10-17-16",68.65,68.65,67.8,68.22
"WMT","10-18-16",68.57,68.98,68.23,68.87
"WMT","10-19-16",69.22,69.34,68.695,68.89
"WMT","10-20-16",68.98,69.08,68.57,68.73
"WMT","10-21-16",68.34,68.63,67.99,68.34
"WMT","10-24-16",68.62,69.37,68.39,69.19
"WMT","10-25-16",69.01,69.87,69,69.36
"WMT","10-26-16",69.3,69.81,69.14,69.59
"WMT","10-27-16",69.6,70,69.39,69.83
"WMT","10-28-16",69.8,70.21,69.73,69.99
"WMT","10-31-16",70.06,70.17,69.85,70.02
"WMT","11-1-16",69.98,70.06,69.14,69.3
"WMT","11-2-16",69.2,69.97,69.2,69.45
"WMT","11-3-16",69.63,70.08,69.35,69.63
"WMT","11-4-16",69.71,69.94,69.13,69.16
"WMT","11-7-16",69.62,69.84,69.16,69.78
"WMT","11-8-16",69.71,70.04,69.47,69.79
"WMT","11-9-16",69.3,71.5,69.29,71.1
"WMT","11-10-16",71.25,72.09,71,71.39
"WMT","11-11-16",71.11,71.28,70.6,71.23
"WMT","11-14-16",71.16,71.31,70.19,70.49
"WMT","11-15-16",70.79,71.42,70.35,71.42
"WMT","11-16-16",71.75,72.06,71.33,71.39
"WMT","11-17-16",69.08,69.52,68.12,69.19
"WMT","11-18-16",68.93,69.4,68.44,68.54
"WMT","11-21-16",68.61,69.4,68.42,69.37
"WMT","11-22-16",69.73,70.42,69.73,70.12
"WMT","11-23-16",70.22,70.885,70.18,70.83
"WMT","11-25-16",71.11,71.65,70.98,71.23
"WMT","11-28-16",70.93,71.52,70.8,71.19
"WMT","11-29-16",71.38,71.79,71.2,71.37
"WMT","11-30-16",70.92,71.16,70.165,70.43
"WMT","12-1-16",70.25,70.73,70.05,70.67
"WMT","12-2-16",70.58,70.95,70.45,70.88
"WMT","12-5-16",70.9,70.99,69.81,69.94
"WMT","12-6-16",70.01,70.39,69.5,70.36
"WMT","12-7-16",69.93,70.65,69.9,70.6
"WMT","12-8-16",70.48,70.9,70.32,70.34
"WMT","12-9-16",70.27,70.43,69.74,70.08
"WMT","12-12-16",70.07,71.78,70.02,71.67
"WMT","12-13-16",71.67,72.23,71.61,71.8
"WMT","12-14-16",71.9,72.48,71.18,71.34
"WMT","12-15-16",71.22,71.8,71.03,71.08
"WMT","12-16-16",71.07,71.64,70.595,70.98
"WMT","12-19-16",70.84,71.749,70.84,71.58
"WMT","12-20-16",71.73,71.9332,71.51,71.82
"WMT","12-21-16",71.66,72,71.24,71.24
"WMT","12-22-16",71.24,71.24,69.21,69.59
"WMT","12-23-16",69.43,69.749,69.36,69.54
"WMT","12-27-16",69.3,69.815,69.25,69.7
"WMT","12-28-16",69.94,70,69.26,69.31
"WMT","12-29-16",69.21,69.52,69.12,69.26
"WMT","12-30-16",69.12,69.43,68.83,69.12
"WMT","1-3-17",69.24,69.24,68.05,68.66
"WMT","1-4-17",68.66,69.63,68.6,69.06
"WMT","1-5-17",68.43,69.33,68.12,69.21
"WMT","1-6-17",68.41,68.5,68.01,68.26
"WMT","1-9-17",68.33,68.8,68.32,68.71
"WMT","1-10-17",68.64,69.27,68.22,68.23
"WMT","1-11-17",68.2,68.62,68.19,68.53
"WMT","1-12-17",68.36,68.56,67.92,67.97
"WMT","1-13-17",67.98,68.02,67.08,67.13
"WMT","1-17-17",68.09,69.29,68.06,68.42
"WMT","1-18-17",67.88,68.11,67.54,68.11
"WMT","1-19-17",68.13,68.19,67.48,67.62
"WMT","1-20-17",67.74,67.83,67.02,67.18
"WMT","1-23-17",67.01,67.1799,66.56,66.65
"WMT","1-24-17",66.89,67.41,66.66,67.4
"WMT","1-25-17",67.52,67.73,66.79,66.89
"WMT","1-26-17",67.13,67.2239,66.62,66.73
"WMT","1-27-17",66.86,66.97,65.28,65.66
"WMT","1-30-17",65.63,66.48,65.63,66.42
"WMT","1-31-17",66.21,66.89,65.88,66.74
"WMT","2-1-17",66.46,66.7139,66.04,66.23
"WMT","2-2-17",66.34,67.14,66.34,66.7
"WMT","2-3-17",66.82,66.93,66.445,66.5
"WMT","2-6-17",66.37,66.865,66.37,66.4
"WMT","2-7-17",66.56,67,66.51,66.89
"WMT","2-8-17",66.89,67.82,66.89,67.81
"WMT","2-9-17",67.8,69.14,67.75,69.08
"WMT","2-10-17",68.25,68.6,67.76,68.02
"WMT","2-13-17",68.32,68.65,67.56,67.77
"WMT","2-14-17",67.88,68.68,67.71,68.66
"WMT","2-15-17",67.76,68.71,67.76,68.69
"WMT","2-16-17",68.67,69.24,68.61,68.87
"WMT","2-17-17",68.83,69.785,68.695,69.37
"WMT","2-21-17",71.21,72.28,70.7,71.45
"WMT","2-22-17",72.25,72.37,71.48,71.71
"WMT","2-23-17",72,72.5,71.16,71.31
"WMT","2-24-17",71.34,72.8,71.3,72.39
"WMT","2-27-17",72.28,72.42,71.525,71.74
"WMT","2-28-17",70.87,71,70,70.93
"WMT","3-1-17",70.97,71.08,70.15,70.45
"WMT","3-2-17",70.42,70.9,70.17,70.76
"WMT","3-3-17",70.81,71.02,69.88,70.03
"WMT","3-6-17",70,70.435,69.78,69.88
"WMT","3-7-17",69.9,70.21,69.86,69.87
"WMT","3-8-17",69.69,70.03,69.54,69.8
"WMT","3-9-17",69.75,70.04,69.56,69.86
"WMT","3-10-17",70,70.365,69.8,70.1
"WMT","3-13-17",69.99,70.45,69.71,69.95
"WMT","3-14-17",70.82,71.205,70.72,70.72
"WMT","3-15-17",70.5,70.7,70.02,70.58
"WMT","3-16-17",70.11,70.7,70.07,70.44
