"Ticker","Date","Open","High","Low","Close"
"XEL","9-19-16",41.39,41.78,41.23,41.68
"XEL","9-20-16",41.84,41.97,41.5,41.52
"XEL","9-21-16",41.53,42.61,41.52,42.55
"XEL","9-22-16",42.75,42.94,42.51,42.9
"XEL","9-23-16",42.78,43.24,42.61,43.07
"XEL","9-26-16",43.01,43.23,42.85,43.1
"XEL","9-27-16",43.21,43.49,42.28,42.37
"XEL","9-28-16",42.48,42.5,41.86,42.25
"XEL","9-29-16",42.08,42.14,41.47,41.81
"XEL","9-30-16",41.98,42.14,40.92,41.14
"XEL","10-3-16",41.05,41.14,40.3,40.58
"XEL","10-4-16",40.57,40.57,39.31,39.59
"XEL","10-5-16",39.74,40.22,39.39,39.51
"XEL","10-6-16",39.3,39.72,39.08,39.62
"XEL","10-7-16",39.82,40.26,39.49,39.61
"XEL","10-10-16",39.68,39.91,39.56,39.89
"XEL","10-11-16",39.82,39.89,39.32,39.45
"XEL","10-12-16",39.5,39.91,39.5,39.72
"XEL","10-13-16",39.76,40.62,39.72,40.34
"XEL","10-14-16",40.14,40.525,40,40.05
"XEL","10-17-16",40.25,40.46,40.14,40.34
"XEL","10-18-16",40.6,40.83,40.05,40.54
"XEL","10-19-16",40.54,40.55,40.13,40.32
"XEL","10-20-16",40.39,40.65,40.2,40.39
"XEL","10-21-16",40.19,40.29,39.75,39.95
"XEL","10-24-16",40.14,40.275,39.87,40.2
"XEL","10-25-16",40.08,40.52,40.03,40.48
"XEL","10-26-16",40.44,40.71,40.215,40.6
"XEL","10-27-16",40.33,40.71,40.14,40.44
"XEL","10-28-16",40.51,40.81,40.36,40.68
"XEL","10-31-16",40.81,41.8,40.77,41.55
"XEL","11-1-16",41.57,41.6,40.72,40.86
"XEL","11-2-16",40.71,40.75,40.12,40.46
"XEL","11-3-16",40.35,40.79,40.22,40.62
"XEL","11-4-16",40.78,41.14,40.34,40.36
"XEL","11-7-16",40.59,41.16,40.13,41.15
"XEL","11-8-16",41.22,41.75,41.21,41.52
"XEL","11-9-16",40.93,40.93,39.5,39.58
"XEL","11-10-16",39.42,39.42,38,38.68
"XEL","11-11-16",38.64,39.36,38.64,38.84
"XEL","11-14-16",38.56,38.66,38.2,38.51
"XEL","11-15-16",38.69,39.46,38.69,39.25
"XEL","11-16-16",39.24,39.51,38.75,39.01
"XEL","11-17-16",38.85,39.21,38.74,39
"XEL","11-18-16",38.96,39.2,38.685,38.87
"XEL","11-21-16",38.93,39.36,38.88,39.34
"XEL","11-22-16",39.35,39.5934,39.08,39.29
"XEL","11-23-16",38.87,39.32,38.7,38.77
"XEL","11-25-16",38.95,39.61,38.95,39.52
"XEL","11-28-16",39.65,40.39,39.64,40.32
"XEL","11-29-16",40.19,40.8,40.16,40.49
"XEL","11-30-16",39.98,39.98,39.01,39.01
"XEL","12-1-16",38.79,38.81,38.24,38.54
"XEL","12-2-16",38.55,39.04,38.5,38.74
"XEL","12-5-16",38.57,38.81,38.22,38.79
"XEL","12-6-16",38.93,39.015,38.68,38.77
"XEL","12-7-16",38.87,39.38,38.79,39.35
"XEL","12-8-16",39.05,39.395,38.83,39.25
"XEL","12-9-16",39.25,39.875,39.2,39.85
"XEL","12-12-16",39.72,40.56,39.63,40.47
"XEL","12-13-16",40.53,40.775,40.34,40.72
"XEL","12-14-16",40.88,41.14,39.95,40.04
"XEL","12-15-16",39.87,40.26,39.59,40.22
"XEL","12-16-16",40.24,40.83,40.24,40.69
"XEL","12-19-16",40.83,40.93,40.455,40.76
"XEL","12-20-16",40.78,41.055,40.63,40.98
"XEL","12-21-16",40.97,41.2,40.89,40.91
"XEL","12-22-16",40.53,40.73,40.29,40.67
"XEL","12-23-16",40.79,40.86,40.52,40.67
"XEL","12-27-16",40.57,40.84,40.48,40.73
"XEL","12-28-16",40.72,40.73,40.254,40.29
"XEL","12-29-16",40.44,41.01,40.36,40.94
"XEL","12-30-16",41,41.07,40.56,40.7
"XEL","1-3-17",40.74,40.83,40.3197,40.62
"XEL","1-4-17",40.71,40.98,40.6,40.8
"XEL","1-5-17",40.87,40.99,40.48,40.8
"XEL","1-6-17",40.64,41.06,40.61,40.92
"XEL","1-9-17",41.13,41.17,40.27,40.3
"XEL","1-10-17",40.37,40.375,40.04,40.29
"XEL","1-11-17",40.34,40.74,40.25,40.69
"XEL","1-12-17",40.68,40.91,40.44,40.85
"XEL","1-13-17",40.66,40.82,40.43,40.65
"XEL","1-17-17",40.87,41.305,40.76,41.2
"XEL","1-18-17",41.1,41.43,41.01,41.33
"XEL","1-19-17",41.09,41.37,40.815,40.89
"XEL","1-20-17",41,41.14,40.72,41.07
"XEL","1-23-17",41.17,41.24,40.77,40.81
"XEL","1-24-17",40.77,40.91,40.635,40.79
"XEL","1-25-17",40.62,40.81,40.5,40.77
"XEL","1-26-17",40.75,41.115,40.68,40.91
"XEL","1-27-17",41.01,41.11,40.64,40.72
"XEL","1-30-17",40.84,40.89,40.5,40.73
"XEL","1-31-17",40.86,41.34,40.75,41.32
"XEL","2-1-17",40.98,41.245,40.539,40.63
"XEL","2-2-17",40.7,41.47,40.43,41.39
"XEL","2-3-17",41.46,41.7,41.345,41.45
"XEL","2-6-17",41.53,41.65,41.315,41.5
"XEL","2-7-17",41.49,41.7474,41.44,41.66
"XEL","2-8-17",41.72,42.2,41.71,42.06
"XEL","2-9-17",41.95,42.23,41.62,41.76
"XEL","2-10-17",41.62,41.99,41.54,41.94
"XEL","2-13-17",41.98,42.14,41.7699,42.03
"XEL","2-14-17",42.02,42.02,41.49,41.72
"XEL","2-15-17",41.5,41.645,41.16,41.61
"XEL","2-16-17",41.67,41.92,41.58,41.89
"XEL","2-17-17",41.93,42.08,41.7,42
"XEL","2-21-17",41.95,42.5,41.77,42.43
"XEL","2-22-17",42.33,42.65,42.24,42.49
"XEL","2-23-17",42.71,42.99,42.525,42.95
"XEL","2-24-17",43.34,43.54,42.95,43.34
"XEL","2-27-17",43.39,43.5,43.17,43.31
"XEL","2-28-17",43.22,43.815,43.19,43.71
"XEL","3-1-17",43.05,43.76,43.01,43.5
"XEL","3-2-17",43.35,44.095,43.24,43.85
"XEL","3-3-17",43.87,43.87,43.36,43.72
"XEL","3-6-17",43.65,43.8,43.51,43.62
"XEL","3-7-17",43.52,43.98,43.51,43.82
"XEL","3-8-17",43.52,43.56,42.93,43.05
"XEL","3-9-17",43.09,43.31,42.99,43.07
"XEL","3-10-17",43.26,43.51,43.125,43.5
"XEL","3-13-17",43.15,43.31,43.03,43.23
"XEL","3-14-17",43.17,43.35,43.1,43.25
