"Ticker","Date","Open","High","Low","Close"
"ZM","4-22-19",61,68.9,59.94,65.7
"ZM","4-23-19",66.87,74.169,65.55,69
"ZM","4-24-19",71.4,71.5,63.16,63.2
"ZM","4-25-19",64.74,66.85,62.6,65
"ZM","4-26-19",66.12,66.99,63.6,66.22
"ZM","4-29-19",66.53,68.5,64.75,68.17
"ZM","4-30-19",68.4,72.52,66.67,72.47
"ZM","5-1-19",72.72,76.95,70.8159,72.76
"ZM","5-2-19",72.75,75.89,69.6912,75.5
"ZM","5-3-19",75,80.25,75,79.18
"ZM","5-6-19",75.01,80.79,74.5,78.24
"ZM","5-7-19",77.85,78.05,73.25,73.33
"ZM","5-8-19",74.61,78.5,74.03,77.68
"ZM","5-9-19",76.85,76.99,74,75.21
"ZM","5-10-19",75.79,79.74,74.77,79.63
"ZM","5-13-19",77.39,77.39,70.6,72.54
"ZM","5-14-19",74.12,76.8851,73.11,73.14
"ZM","5-15-19",73.4,80,72.21,79.76
"ZM","5-16-19",80.12,87.55,79.25,83.4
"ZM","5-17-19",82.25,90.28,81.88,89.98
"ZM","5-20-19",90.1,91.46,83.27,84.67
"ZM","5-21-19",86.63,89.7,84.5,85.44
"ZM","5-22-19",84.63,85.7,82,82.43
"ZM","5-23-19",81.25,81.5,77.26,78.76
"ZM","5-24-19",80.48,81.2499,74.2,76.25
"ZM","5-28-19",76.8,79.39,76.8,77.77
"ZM","5-29-19",77,77.93,73.5831,75.77
"ZM","5-30-19",76.68,80.97,76.6,80.42
"ZM","5-31-19",78.77,83.17,77.78,79.73
"ZM","6-3-19",80,81.94,75.65,75.9
"ZM","6-4-19",78.2,78.88,76.62,78.74
"ZM","6-5-19",80.14,80.6,76.24,78.04
"ZM","6-6-19",77.4,79.75,77.03,79.43
"ZM","6-7-19",93.66,98.8896,92.5,94.05
"ZM","6-10-19",98.51,105.985,96,102
"ZM","6-11-19",101,101.2,91.57,94.87
"ZM","6-12-19",94.6,104.185,94,102.77
"ZM","6-13-19",105.1,105.1719,98.55,100.95
"ZM","6-14-19",100.47,104.57,99.25,100.29
"ZM","6-17-19",101,102.4465,97,98.11
"ZM","6-18-19",100.39,102,97.51,99.64
"ZM","6-19-19",100.49,104.4446,98.63,102.39
"ZM","6-20-19",105.01,107.34,101.6209,102.3
"ZM","6-21-19",101.42,101.5316,97.82,100.47
"ZM","6-24-19",100.85,101.4997,88.88,89.41
"ZM","6-25-19",89.43,91.5,84.63,85.03
"ZM","6-26-19",87.92,89.08,84.605,86.33
"ZM","6-27-19",89.7,92.33,87.8,90.27
"ZM","6-28-19",91.76,92.2,87.25,88.79
"ZM","7-1-19",85.13,87.79,83.1,86.86
"ZM","7-2-19",86.27,86.85,84,85.13
"ZM","7-3-19",85.45,90.6,84.51,90.45
"ZM","7-5-19",90.14,91.97,88,91.88
"ZM","7-8-19",91.44,92.79,89.89,90.76
"ZM","7-9-19",90.27,91.27,89.1,90.93
"ZM","7-10-19",91.76,93.45,91.55,92.72
"ZM","7-11-19",92.9,93.2,90.452,91.4
"ZM","7-12-19",93.01,94.93,91.37,93.3
"ZM","7-15-19",94,100.65,93.78,99.8
"ZM","7-16-19",100.14,100.5,96.5,97.1
"ZM","7-17-19",97.62,101.9868,97.5401,99.73
"ZM","7-18-19",99.24,99.5,95.0164,95.19
"ZM","7-19-19",97.15,97.79,92.88,93.38
"ZM","7-22-19",94.19,97.465,93.505,96.67
"ZM","7-23-19",97.5,98.15,93.52,97.39
"ZM","7-24-19",97.12,97.88,94.685,95.94
"ZM","7-25-19",95.84,99.6,95.75,97.11
"ZM","7-26-19",97.95,104.49,97.83,102.2
"ZM","7-29-19",102.6,102.9975,92.1,96.47
"ZM","7-30-19",95.19,99.35,94.03,95.49
"ZM","7-31-19",96.43,97.5,93.5,95.51
"ZM","8-1-19",95.75,98.66,93.8,95.1
"ZM","8-2-19",94.92,96,92.5658,93.66
"ZM","8-5-19",90.7,91.19,87.29,89.69
"ZM","8-6-19",91.5,92.2899,88.1,90.43
"ZM","8-7-19",89.02,93.16,88.0201,92.45
"ZM","8-8-19",93.57,95.84,93.0201,95.77
"ZM","8-9-19",94.79,95.49,93.31,94.2
"ZM","8-12-19",93.05,94.18,91.11,92.16
"ZM","8-13-19",92.06,96.2228,92.06,95.45
"ZM","8-14-19",93.2,94.5215,89.89,92.65
"ZM","8-15-19",92.77,93.44,89.69,90.64
"ZM","8-16-19",92.12,95,92.0801,92.53
"ZM","8-19-19",94.18,96.2,92.89,93.17
"ZM","8-20-19",93,93.57,91.14,91.41
"ZM","8-21-19",92.86,94.1805,92.3539,93.01
"ZM","8-22-19",93.48,95.5,91.57,93.87
"ZM","8-23-19",93.14,94.1296,90.41,91.63
"ZM","8-26-19",92.33,93.5,91.45,91.76
"ZM","8-27-19",92.6,93.69,90.44,91.73
"ZM","8-28-19",91.16,91.38,88.7111,90.16
"ZM","8-29-19",91.5,92.68,90.7,90.87
"ZM","8-30-19",91.82,92.42,89.02,91.67
"ZM","9-3-19",91.5,94.24,90.75,92.46
"ZM","9-4-19",93.95,96,93.1801,93.53
"ZM","9-5-19",94.24,94.38,88.51,92.69
"ZM","9-6-19",92,96.5,84.86,85.41
"ZM","9-9-19",85.75,85.94,77.2,78.65
"ZM","9-10-19",77,81.2206,76.81,80.35
"ZM","9-11-19",80,81.86,78.5,80.71
"ZM","9-12-19",81.45,82.65,79.9,81.53
"ZM","9-13-19",81.57,82.4755,78.27,78.85
"ZM","9-16-19",78.5,80.99,78.26,80.67
"ZM","9-17-19",81.49,84.82,79.53,84.64
"ZM","9-18-19",84.4,86,83.5,84.55
"ZM","9-19-19",85.2,85.35,83.25,84.62
"ZM","9-20-19",85,85.35,81.5,82.63
"ZM","9-23-19",82.29,83.6,81.8,82.62
"ZM","9-24-19",82.43,82.93,79.46,80.02
"ZM","9-25-19",79.12,79.99,76.08,79.6
"ZM","9-26-19",79.25,80.62,78.6154,79.75
"ZM","9-27-19",79.69,79.825,75.09,76.04
"ZM","9-30-19",76.13,77,74.29,76.2
"ZM","10-1-19",76.43,77.49,75.21,75.81
"ZM","10-2-19",74.5,75.78,73.66,73.85
"ZM","10-3-19",73.9,78.4897,73.39,76.83
"ZM","10-4-19",77,77.7831,75.28,76.53
"ZM","10-7-19",76.99,77.43,75,76.99
"ZM","10-8-19",76.01,76.3544,72.58,73.59
"ZM","10-9-19",74.22,75.06,72.75,72.86
"ZM","10-10-19",72.86,73.78,71.01,71.01
"ZM","10-11-19",71.37,72.89,70.9016,71.35
"ZM","10-14-19",70.46,71.24,69.55,70.8
"ZM","10-15-19",68.76,71.27,68.38,71.11
"ZM","10-16-19",69.7,69.9499,66.51,67.69
"ZM","10-17-19",67.09,68,66.76,67.03
"ZM","10-18-19",66.26,66.93,64.53,66.08
"ZM","10-21-19",65.29,66.5,64.1582,65.77
"ZM","10-22-19",64.2,64.6,61.02,62
"ZM","10-23-19",61.33,63.74,60.9675,62.06
"ZM","10-24-19",63,65.94,62.7601,64.52
"ZM","10-25-19",64.33,64.99,62.79,63.45
"ZM","10-28-19",63.96,67.47,62.26,66.56
"ZM","10-29-19",65.77,67.11,64.8,65.49
"ZM","10-30-19",65.97,70.09,65.66,70
"ZM","10-31-19",69.52,70.08,66.6,69.89
"ZM","11-1-19",69.86,70.55,68.02,70.39
"ZM","11-4-19",70.81,70.85,69.01,70.12
"ZM","11-5-19",70.71,70.85,66.68,66.89
"ZM","11-6-19",66.95,67.13,65.36,66.83
"ZM","11-7-19",67.03,68.68,66.21,66.81
"ZM","11-8-19",66.54,70,66.52,69.85
"ZM","11-11-19",69.51,70.19,67.76,68.39
"ZM","11-12-19",68.5,70.05,67.56,68
"ZM","11-13-19",68,68.5075,66.87,68.01
"ZM","11-14-19",67.77,68.15,66.71,67.74
"ZM","11-15-19",68.13,71.1,67.91,70.01
"ZM","11-18-19",70.47,71.14,68.78,70.08
"ZM","11-19-19",70.19,70.332,68.19,69.64
"ZM","11-20-19",69.25,71.71,68.55,70.99
"ZM","11-21-19",71.5,71.95,69.58,69.92
"ZM","11-22-19",72,74,71.15,73.16
"ZM","11-25-19",73.8,75.06,72.86,74.55
"ZM","11-26-19",75,75.77,74.76,75.16
"ZM","11-27-19",75.81,75.84,73.36,74.08
"ZM","11-29-19",74.1,74.94,73.86,74.5
"ZM","12-2-19",74.06,74.5,68.46,68.93
"ZM","12-3-19",66.72,70.53,66.05,70.02
"ZM","12-4-19",70.5,70.9,69.15,69.96
"ZM","12-5-19",70.03,70.75,69.22,69.67
"ZM","12-6-19",64.26,65.08,62.11,62.74
"ZM","12-9-19",62.39,67.27,62.33,65.94
"ZM","12-10-19",65.49,65.83,63.39,64.57
"ZM","12-11-19",64.24,64.45,62.05,63.52
"ZM","12-12-19",63.49,64.23,62.12,62.49
"ZM","12-13-19",62.5,63.75,62.02,63.54
"ZM","12-16-19",63.59,66.39,63.56,66.35
"ZM","12-17-19",66.62,66.62,65.4,66.17
"ZM","12-18-19",66.22,68.14,66.04,67.6
"ZM","12-19-19",67.75,68.46,67.1,68.18
"ZM","12-20-19",68.2,68.48,66.4147,66.93
"ZM","12-23-19",67.02,67.5,65.93,66.15
"ZM","12-24-19",66.3,66.885,65.74,66.46
"ZM","12-26-19",66.5,68.19,66.3,67.45
"ZM","12-27-19",67.51,67.9599,66.51,66.64
"ZM","12-30-19",66.56,67.18,65.52,66.79
"ZM","12-31-19",66.38,68.18,66.31,68.04
"ZM","1-2-20",68.8,69.235,68.02,68.72
"ZM","1-3-20",67.62,68.68,67.1,67.28
"ZM","1-6-20",66.63,70.495,65.8116,70.32
"ZM","1-7-20",70.29,72.8391,69.37,71.9
"ZM","1-8-20",71.81,73.29,71.03,72.55
"ZM","1-9-20",73.99,74,71.35,72.62
"ZM","1-10-20",73.08,73.8,72.25,73.09
"ZM","1-13-20",73.89,75.58,73.8,74.03
"ZM","1-14-20",74.32,75.115,72.26,73.16
"ZM","1-15-20",73.28,77.78,73.2,76.94
"ZM","1-16-20",78,78.79,75.11,76.11
"ZM","1-17-20",76.66,76.9,75.49,75.56
