"Ticker","Date","Announced","AEPS","EEPS"
"AAPL","10-26-16","After",1.67,1.656
"AAPL","2-1-17","After",3.36,3.219
"AAPL","5-3-17","After",2.1,2.0604
"AAPL","8-2-17","After",1.67,1.6069
"AAPL","11-3-17","After",2.07,1.8986
"AAPL","2-2-18","After",3.89,3.8394
"AAPL","5-2-18","After",2.73,2.7295
"AAPL","8-1-18","After",2.34,2.2275
"AAPL","11-2-18","After",2.91,2.8383
"AAPL","1-30-19","After",4.18,4.195
"AAPL","5-1-19","After",2.46,2.4602
"AAPL","7-31-19","After",2.18,2.1717
"AAPL","10-31-19","After",3.03,2.8906
"AAPL","1-29-20","After",4.99,4.5997
"AAPL","5-1-20","After",2.55,2.089
"AAPL","7-31-20","After",2.58,2.025
"AAPL","10-30-20","After",0.73,0.691
"AAPL","1-28-21","After",1.68,1.406
"AAPL","4-29-21","After",1.4,0.998
"AAPL","7-28-21","After",1.3,1.001
"AMGN","10-28-16","After",3.02,2.794
"AMGN","2-3-17","After",2.89,2.772
"AMGN","4-27-17","After",3.15,2.995
"AMGN","7-26-17","After",3.27,3.1192
"AMGN","10-26-17","After",3.27,3.1648
"AMGN","2-2-18","After",2.89,3.1165
"AMGN","4-25-18","After",3.47,3.2548
"AMGN","7-27-18","After",3.83,3.5849
"AMGN","10-31-18","After",3.69,3.5415
"AMGN","1-30-19","After",3.42,3.3507
"AMGN","5-1-19","After",3.56,3.4786
"AMGN","7-31-19","After",3.97,3.6099
"AMGN","10-30-19","After",3.66,3.6588
"AMGN","1-31-20","After",3.64,3.5609
"AMGN","5-1-20","After",4.17,3.696
"AMGN","7-29-20","After",4.25,3.81
"AMGN","10-29-20","After",4.37,3.746
"AMGN","2-3-21","After",3.81,3.359
"AMGN","4-28-21","After",3.7,4.003
"AMGN","8-4-21","After",4.38,4.128
"AXP","10-20-16","After",1.24,0.963
"AXP","1-20-17","After",0.91,0.979
"AXP","4-20-17","After",1.34,1.276
"AXP","7-20-17","After",1.47,1.4704
"AXP","10-19-17","After",1.5,1.4877
"AXP","1-19-18","After",1.58,1.5645
"AXP","4-19-18","After",1.86,1.7468
"AXP","7-19-18","After",1.84,1.8677
"AXP","10-19-18","After",1.88,1.808
"AXP","1-18-19","After",2.32,1.8321
"AXP","4-22-19","Before",2.01,2.0136
"AXP","7-22-19","Before",2.07,2.0694
"AXP","10-21-19","Before",2.08,2.0844
"AXP","1-27-20","Before",2.03,2.0385
"AXP","4-27-20","Before",1.98,1.686
"AXP","7-27-20","Before",0.29,0.131
"AXP","10-26-20","Before",1.3,1.39
"AXP","1-27-21","Before",1.76,1.264
"AXP","4-26-21","Before",2.74,1.678
"AXP","7-26-21","Before",2.8,1.641
"BA","10-27-16","Before",3.51,2.62
"BA","1-26-17","Before",2.47,2.336
"BA","4-27-17","Before",2.01,1.914
"BA","7-27-17","Before",2.55,2.3834
"BA","10-26-17","Before",2.72,2.7094
"BA","2-1-18","Before",4.8,2.9519
"BA","4-26-18","Before",3.64,2.6371
"BA","7-26-18","Before",3.33,3.4477
"BA","10-25-18","Before",3.58,3.5135
"BA","1-31-19","Before",5.48,4.5614
"BA","4-25-19","Before",3.16,3.2907
"BA","7-25-19","Before",-5.82,1.1328
"BA","10-24-19","Before",1.45,2.2047
"BA","1-30-20","Before",-2.33,1.6755
"BA","4-30-20","Before",-1.7,-2.044
"BA","7-30-20","Before",-4.79,-2.925
"BA","10-29-20","Before",-1.39,-2.334
"BA","1-28-21","Before",-15.25,-1.779
"BA","4-29-21","Before",-1.53,-1.167
"BA","7-29-21","Before",0.4,-0.654
"CAT","10-26-16","Before",0.85,0.76
"CAT","1-27-17","Before",0.83,0.654
"CAT","4-26-17","Before",1.28,0.618
"CAT","7-26-17","Before",1.49,1.2624
"CAT","10-25-17","Before",1.95,1.3015
"CAT","1-26-18","Before",2.16,1.8276
"CAT","4-25-18","Before",2.82,2.1691
"CAT","7-31-18","Before",2.97,2.7472
"CAT","10-24-18","Before",2.86,2.8865
"CAT","1-29-19","Before",2.55,3.0035
"CAT","4-25-19","Before",2.94,2.8562
"CAT","7-25-19","Before",2.83,3.1516
"CAT","10-24-19","Before",2.66,2.8537
"CAT","2-3-20","Before",2.63,2.3998
"CAT","4-29-20","Before",1.6,1.761
"CAT","8-3-20","Before",1.03,0.658
"CAT","10-28-20","Before",1.34,1.15
"CAT","2-1-21","Before",2.12,1.456
"CAT","4-30-21","Before",2.87,1.926
"CAT","8-2-21","Before",2.56,2.38
"CRM","11-18-16","After",0.24,0.033
"CRM","3-1-17","After",0.28,0.043
