"Ticker","Date","Announced","AEPS","EEPS"
"AAPL","10-26-16","After",1.67,1.656
"AAPL","2-1-17","After",3.36,3.219
"AAPL","5-3-17","After",2.1,2.0604
"AAPL","8-2-17","After",1.67,1.6069
"AAPL","11-3-17","After",2.07,1.8986
"AAPL","2-2-18","After",3.89,3.8394
"AAPL","5-2-18","After",2.73,2.7295
"AAPL","8-1-18","After",2.34,2.2275
"AAPL","11-2-18","After",2.91,2.8383
"AAPL","1-30-19","After",4.18,4.195
"AAPL","5-1-19","After",2.46,2.4602
"AAPL","7-31-19","After",2.18,2.1717
"AAPL","10-31-19","After",3.03,2.8906
"AAPL","1-29-20","After",4.99,4.5997
"AAPL","5-1-20","After",2.55,2.089
"AAPL","7-31-20","After",2.58,2.025
"AAPL","10-30-20","After",0.73,0.691
"AAPL","1-28-21","After",1.68,1.406
"AAPL","4-29-21","After",1.4,0.998
"AAPL","7-28-21","After",1.3,1.001
"ADBE","12-16-16","After",0.9,0.718
"ADBE","3-17-17","After",0.94,0.718
"ADBE","6-21-17","After",1.02,0.9623
"ADBE","9-20-17","After",1.1,1.0327
"ADBE","12-15-17","After",1.26,1.1829
"ADBE","3-16-18","After",1.55,1.4722
"ADBE","6-15-18","After",1.66,1.5898
"ADBE","9-14-18","After",1.73,1.737
"ADBE","12-14-18","After",1.83,1.9182
"ADBE","3-15-19","After",1.71,1.6617
"ADBE","6-19-19","After",1.83,1.8219
"ADBE","9-18-19","After",2.05,2.0011
"ADBE","12-13-19","After",2.29,2.2917
"ADBE","3-13-20","After",2.27,2.2553
"ADBE","6-12-20","After",2.45,1.903
"ADBE","9-16-20","After",2.57,1.97
"ADBE","12-11-20","Before",2.81,2.201
"ADBE","3-24-21","After",3.14,2.31
"ADBE","6-18-21","After",3.03,2.354
"ADBE","9-22-21","After",3.11,2.518
"ADI","11-23-16","Before",1.05,0.895
"ADI","2-16-17","Before",0.94,0.733
"ADI","6-1-17","Before",1.03,0.9065
"ADI","8-31-17","Before",1.26,1.1902
"ADI","11-22-17","Before",1.45,1.3985
"ADI","3-1-18","Before",1.42,1.3351
"ADI","5-31-18","Before",1.45,1.4092
"ADI","8-23-18","Before",1.53,1.4953
"ADI","11-21-18","Before",1.55,1.5649
"ADI","2-21-19","Before",1.33,1.3028
"ADI","5-23-19","Before",1.36,1.3383
"ADI","8-22-19","Before",1.26,1.2621
"ADI","11-27-19","Before",1.19,1.2635
"ADI","2-20-20","Before",1.03,1.0344
"ADI","5-21-20","Before",1.08,1.047
"ADI","8-20-20","Before",1.36,1.326
"ADI","11-25-20","Before",1.44,1.323
"ADI","2-18-21","Before",1.44,1.321
"ADI","5-20-21","Before",1.54,1.451
"ADI","8-19-21","Before",1.72,1.612
"ADP","11-3-16","Before",0.86,0.766
"ADP","2-2-17","Before",0.87,0.81
"ADP","5-4-17","Before",1.31,0.7382
"ADP","7-28-17","Before",0.66,0.6943
"ADP","11-3-17","Before",0.91,0.8634
"ADP","2-1-18","Before",0.99,0.9081
"ADP","5-3-18","Before",1.45,1.4639
"ADP","8-2-18","Before",0.92,0.9223
"ADP","11-1-18","Before",1.2,1.1252
"ADP","1-31-19","Before",1.34,1.1909
"ADP","5-2-19","Before",1.77,1.7134
"ADP","8-1-19","Before",1.14,1.1568
"ADP","10-31-19","Before",1.34,1.3584
"ADP","1-30-20","Before",1.52,1.4607
"ADP","4-30-20","Before",1.92,1.915
"ADP","7-30-20","Before",1.14,0.964
"ADP","10-29-20","Before",1.4,0.966
"ADP","1-28-21","Before",1.52,1.289
"ADP","4-29-21","Before",1.89,1.825
"ADP","7-29-21","Before",1.2,1.132
"ADSK","11-30-16","After",-0.18,-0.419
"ADSK","3-3-17","After",-0.28,-0.485
"ADSK","5-19-17","After",-0.1,-0.2332
"ADSK","8-25-17","After",-0.11,-0.1207
"ADSK","11-29-17","After",-0.12,-0.1003
"ADSK","3-7-18","After",-0.09,-0.0915
"ADSK","5-25-18","After",0.06,0.0589
"ADSK","8-24-18","After",0.19,0.1722
"ADSK","11-21-18","After",0.29,0.2741
"ADSK","3-1-19","After",0.46,0.4381
"ADSK","5-24-19","After",0.45,0.49
"ADSK","8-28-19","After",0.65,0.6164
"ADSK","11-27-19","After",0.78,0.7373
"ADSK","2-28-20","After",0.92,0.9223
"ADSK","5-28-20","After",0.85,0.463
"ADSK","8-26-20","After",0.98,0.544
"ADSK","11-25-20","After",1.04,0.562
"ADSK","2-26-21","After",1.18,0.647
"ADSK","5-28-21","After",1.03,0.518
"ADSK","8-26-21","After",1.21,0.563
"AEP","11-2-16","Before",1.3,1.229
